1,인간과심리,42343,12343,22122,34233,44314,34222,44424,22422,32441,24344
2,대학영어,23214,24314,12331,41124,23344,14424,12321,31421,31221,34123
3,언어의이해,44324,13221,23343,42424,31414,22141,12231,23313,24342,23211
4,인간과과학,41244,14342,34414,14444,22411,42341,41223,14331,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
5,인간과사회,41412,31243,11312,34123,14341,43441,42143,41222,24341,41241
6,인간과교육,24414,24423,11144,42431,33214,41213,12344,32312,12133,22133
7,문학의이해,34C12,23431,32434,31423,23414,12413,43224,23231,33323,43144
8,취미와예술,34312,12223,21412,12344,33212,34123,43242,34123,13234,11321
9,철학의이해,13242,13423,24134,32133,42314,33221,34343,21343,23421,32431
10,생활속의경제,34212,14434,24123,24141,33244,32421,24221,42314,? ,? 
,,배점,32223,32332,23332,22323,22333,22223,32232,32333,? ,? 
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
11,생활법률,42132,33443,44242,31311,32344,31114,41133,13441,? ,? 
,,배점,32322,23222,32223,33333,33232,33233,32323,22222,? ,? 
12,현대의서양문화,43111,42233,21331,23344,13314,42313,23241,43322,34123,41234
13,"성,사랑,사회",44224,13234,24314,13432,44443,31424,44232,1321B,34112,12142
14,국어학개론,21413,24123,14423,13142,34112,34214,32413,23141,12324,13224
15,현대시론,12241,32414,42141,33422,32243,41433,34322,23211,24222,31321
16,영어발음의원리,43121,13414,23424,32234,24244,21334,12142,12343,21131,32141
17,영작문2,34114,23312,43424,31223,14344,21134,21432,31233,12134,12112
18,미국의사회와문화,41412,21431,34224,34234,12141,31243,21324,22413,41433,44131
19,중국고전문학의전통,22413,44133,21113,42314,22213,14123,14342,41113,? ,? 
,,배점,23232,23332,23232,23322,33232,23332,32322,23233,? ,? 
20,중국어초급회화,32122,41323,14123,21223,14232,31442,33143,34412,23134,14334
21,오늘날의프랑스,22122,13212,33122,24124,41343,23323,24241,34112,43414,23414
22,일본고중세사,34232,24342,13134,24133,42423,43411,24142,31322,? ,? 
,,배점,33233,22332,32222,23233,32223,22322,33332,32332,? ,? 
23,일본인의경제생활,24441,42232,24114,23231,33431,34124,34241,34112,31432,24421
24,주식회사법,34321,23434,32113,43212,32443,21234,32123,43212,? ,? 
,,배점,33333,33333,33333,33333,22222,22222,22222,22222,? ,? 
25,물권법,24133,23221,43224,43312,12324,13431,22141,32323,? ,? 
,,배점,32232,22222,32233,23223,22232,33233,22333,33333,? ,? 
26,통치의기본구조,12431,34124,14143,12232,11232,43123,32144,12144,13213,32244
27,정치학개론,21431,42334,12341,32241,14234,23112,34411,233K4,? ,? 
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,? ,? 
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
28,기초거시경제론,21344,12331,24134,22134,41323,21431,24423,11234,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
29,화폐금융론,32222,33122,32232,32442,41114,31133,24313,21141,33333,34113
30,조직행위론,34114,32122,14121,41421,21441,13123,13323,34443,? ,? 
,,배점,23233,22323,22323,33323,32322,23322,32332,23322,? ,? 
31,금융투자의이해,43243,31222,12143,34134,22332,13423,34224,12124,? ,? 
,,배점,22222,23233,22323,33333,33222,33323,23223,32322,? ,? 
32,원가회계,12431,34223,13122,34231,42212,14143,43421,21413,31141,33423
33,북미지역경제,43311,21323,32414,41213,13423,14142,31341,22414,44123,43231
34,대중영화의이해,13241,22341,34312,43214,44123,21343,21234,12143,12341,22334
35,커퓨니케이션과인간,42112,31343,11241,44141,12341,32311,33413,14114,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
36,서유럽문화기행,21432,44323,14243,31242,13343,12143,K4213,41323,? ,? 
,,배점,23223,23322,32332,32322,33232,32232,33232,23332,? ,? 
37,관광경영론,33221,34141,42333,42341,23322,41232,14232,11423,41323,42342
38,재배학원론,31432,41424,33413,44242,31323,33311,13231,22142,42212,32412
39,인간발달,42231,43423,41124,32433,22411,21324,33214,24314,32324,11433
40,고급영양학,12422,21112,22344,14241,43142,13324,31244,32123,41321,42144
41,의류소재의이해,43234,14233,14442,14243,41433,44431,32443,42144,12411,14234
42,C++프로그래밍,14243,11231,42132,42324,12434,31213,K1244,32143,? ,? 
,,배점,23222,32223,33333,23232,33232,22233,33332,32222,? ,? 
43,UNIX시스템,31242,14342,23234,2D142,11222,32243,41333,31333,? ,? 
,,배점,32233,32322,33323,22233,33323,32222,22323,23223,? ,? 
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
44,데이터마이닝,21413,41213,24232,42123,31342,21123,41423,42422,? ,? 
,,배점,22332,22232,23232,22333,22233,33332,32322,33323,? ,? 
45,생화학,32334,42342,13444,32122,32441,24143,24141,41232,? ,? 
,,배점,22323,32323,33323,23332,32322,33233,22222,32232,? ,? 
46,환경화학,32234,12341,13444,32122,34322,33132,11K13,42433,? ,? 
,,배점,23223,32323,33323,23232,23232,33223,22322,32332,? ,? 
47,고급간호연구,41112,42413,34141,23241,F3222,23314,11122,22241,13134,44214
48,간호이론,23134,13423,44243,32144,33442,22112,41113,43412,11314,42342
49,교육심리학,22314,22143,24144,13131,32122,31223,24134,34343,31141,42244
50,여성교육론,13243,14322,41134,21332,24332,14333,11314,42112,14214,11234
51,원격교육론,23232,14133,14423,12141,42443,12134,13124,23443,12214,33412
52,인간행동과사회환경,12324,32324,14124,32143,44121,41311,31143,23231,13123,32331
53,시민교육론,33124,23423,42434,14312,32141,11234,21442,21232,? ,? 
,,배점,22332,22322,23233,32233,23323,32333,23332,22322,? ,? 
54,청소년심리,44323,33421,22433,13214,23324,13233,13432,24434,12321,42423
55,아동미술,23221,13243,31332,41342,34324,12144,23231,14312,? ,? 
,,배점,32233,23223,33222,23323,32232,22333,23233,22323,? ,? 
56,유아교육철학및교육사,42142,33124,13432,13123,24134,23114,22432,34334,21332,12143
57,동양철학산책,34423,14313,32321,14131,12343,32314,13412,43214,43321,12433
58,미술의이해와감상,31214,41431,34324,13213,32212,33221,44312,12312,31442,12221
