2016학년도 2학기 출석수업대체시험 정답표
3,상하수도관리,13241,23414,32241
3,작업환경관리,14144,22132,12313
3,지역사회간호학,42244,12243,12123
3,응급간호학,21441,32221,21344
3,고급간호연구,44241,41122,22213
3,청소년문제,31412,41232,42124
3,평생교육경영론,13221,21441,24422
3,평생교육프로그램개발,21331,33414,21314
3,청소년프로그램개발및평가,32222,43324,34224
3,평생교육실무론,32142,32244,14132
3,근대화와동서양,31423,41242,31314
3,동양철학산책,41424,32214,32423
3,생명공학과인간의미래,42313,41423,12224
3,집단상담의기초,43124,32114,43421
4,한국희곡론,12433,31431,23423
4,언어와의미,13422,24233,44113
4,영어의역사,44123,14234,14113
4,영미시,12134,23124,13123
4,고급영문강독,24423,14124,22331
4,중국어작문,41443,13212,32431
4,중국시사텍스트특강,14231,34121,31423
4,중국현대문학작품선,12414,13324,12433
4,프랑스어권연구,12433,32241,31242
4,프랑스시와샹송,14211,32243,24243
4,시사프랑스어,24333,11211,44224
4,일본문학의흐름,23132,34114,34223
4,일본학원서강독,33412,24321,33113
4,일본의언어와문화,31423,24132,41132
4,형사정책,32344,12342,32134
4,국제법,44432,34341,31142
4,친족상속법,4443B,13K33,13144
4,공공관리론,32343,21143,41421
4,행정변동론,23123,14412,13212
4,정부기업관계론,11234,44211,24312
4,한국경제의이해,24331,31242,14231
4,환경경제학,21341,13432,13244
4,경영전략론,12121,32412,12314
4,경영학특강,22341,14424,23134
4,한국무역론,34432,24412,41411
4,국제물류론,43241,23312,41143
4,홍보론,22143,14233,24214
4,미디어심리학의이해,42314,41441,43441
4,지역관광론,41132,14342,43113
4,농축산식품이용학,41343,41343,12234
4,가축사양학2,23424,44214,21323
4,텍스타일기획과표현,22331,41332,41134
4,지역사회영양학,24233,14414,43243
4,노인복지론,21434,23213,14421
4,식품가공및저장학,14243,142K1,41422
4,가족상담및치료,42331,44213,32413
4,운동과영양,43313,22132,41242
4,HTML5,14144,21341,13243
4,건강증진론,14123,23143,24213
4,토양지하수관리,22231,31431,24144
4,노인간호학,21423,14213,44112
4,간호윤리와법,13412,32143,24212
4,청소년인권과참여,23134,13213,43242
4,인간관계론,23423,12322,32342
4,심리검사및측정,21242,44341,31323
4,교육문제연구론,32412,14321,21343
4,"성,사랑,사회",32132,24241,41313
4,문화비평과미학,13424,12234,12343
4,한국문화와유물유적,23114,22114,33413
,,,,
