1,문학의이해,43424,32143,32124,12143,13432,13242,12123,34333,14123,13424
2,대학영어,42412,24414,21412,14123,14321,14314,21221,43124,12432,31432
3,생활법률,31313,2G311,41122,32223,13132,21323,43232,13144,42443,22323
4,인간과교육,34211,22321,32143,41312,43231,32444,13144,12132,14322,41324
5,철학의이해,33131,42213,41131,41234,21341,23421,43123,12421,43134,23413
6,인간과사회,12334,32124,21444,42132,33221,13231,32324,31242,32432,23231
7,생활속의경제,42334,33431,23221,43213,21234,23232,23122,31234,? ,? 
,,23223,33232,23332,32233,32233,23322,32322,22332,? ,? 
8,"성,사랑,사회",31421,13414,43332,43242,43423,13432,31331,24124,33131,23423
9,인간과과학,32132,31421,32221,22233,43232,14234,34313,43423,? ,? 
,,23323,23223,32223,22232,33333,23323,22323,23232,? ,? 
10,현대의서양문화,33324,32432,14324,13414,31424,23423,22323,22431,42132,44214
11,언어의이해,42121,32322,22312,33144,34232,23421,24312,33134,14322,22131
12,인간과심리,13421,33423,41232,41234,12131,13414,24313,44231,42324,21332
13,취미와예술,41324,23432,42213,23133,44121,41432,42342,22113,31221,32341
14,수학의이해,12344,34142,3A223,43431,23221,? ,? ,? ,? ,? 
15,고소설론과작가,22242,31343,34243,12142,44342,31213,44231,42143,14411,12431
16,중세국어연습,41432,42231,21132,41412,14434,32211,11433,14342,24223,41443
17,영어듣기연습,23341,41441,23134,14221,13232,44321,34124,14334,12122,44342
18,생활영어,22443,31241,34413,32341,44231,41421,23123,41231,43414,24143
19,영미시,11244,12133,12231,33131,24423,24141,41124,31134,14231,42314
20,중국고전문학의전통,32143,21413,32242,14241,34244,31421,33241,31142,? ,? 
,,32223,33232,23332,22322,33323,23233,22323,22233,? ,? 
21,중국어문법,14444,31232,33441,43123,43221,43441,24222,34142,? ,? 
,,22222,22222,22222,33333,33333,33333,33333,22222,? ,? 
22,오늘날의프랑스,24132,33212,32142,34124,21343,21313,24431,12212,12433,21442
23,일본고중세사,41322,41211,41342,34124,11243,13412,43223,42143,11331,44342
24,일본사회문화의이해,22224,14433,44433,12442,12143,12213,12242,12121,42342,13411
25,주식회사법,23443,21143,21123,44321,12342,43112,34432,11234,? ,? 
,,33333,33333,33333,33333,22222,22222,22222,22222,? ,? 
26,물권법,14214,43422,31143,14132,32211,33132,43241,21342,? ,? 
,,22333,33223,32333,22222,33222,22233,33333,22232,? ,? 
27,개별행정법,24442,23212,33231,44122,12242,11441,44323,33331,? ,? 
,,33332,32223,23223,23332,22232,23233,22233,32332,? ,? 
28,행정조사론,32343,33143,31312,33323,44313,33131,14223,43233,? ,? 
,,33333,33322,32232,23322,22323,23232,32232,22233,? ,? 
29,기초거시경제론,12434,31212,34131,33412,42234,31232,41314,21231,? ,? 
,,22222,22222,22222,33333,22333,33333,33323,22333,? ,? 
30,화폐금융론,24124,43442,21114,11431,12431,23112,43123,41311,24333,31313
31,IT와경영정보시스템,34313,43132,42321,21134,21134,32431,32314,14212,14231,24312
32,관리회계원리,24113,22243,21231,33134,23441,11134,23134,42213,? ,? 
,,22233,33233,23223,32323,22233,32222,23323,33223,? ,? 
33,마케팅조사,42314,34133,24214,32213,31212,12321,33233,22244,42433,22333
34,산업구조와경쟁,41342,24412,23142,42121,22431,13332,14442,12114,11124,12321
35,매스컴원서강독,13123,34221,11211,44131,12413,33243,34411,12132,24411,12132
36,관광연구의이해,41142,13342,42343,22414,21324,31231,14314,23132,? ,? 
,,22233,23223,22233,33233,33333,33333,22222,22222,? ,? 
37,환경친화형농업,12231,33231,43431,41244,21124,31341,24223,42243,? ,? 
,,22322,32223,22233,32223,33333,32223,33323,33222,? ,? 
38,의류소재의이해,21221,14134,14421,32444,13124,12134,34434,24111,11242,13242
39,식생활과문화,34422,13124,31341,13221,41412,32424,34331,21224,24321,31322
40,가족상담및치료,32113,41231,44233,13224,12234,42312,24124,24421,12442,31123
41,컴파일러구성,31132,12323,33321,14131,31143,12341,34431,12143,24132,44444
42,컴퓨터구조,42423,12324,34131,14224,23434,31231,14423,24414,11324,31321
43,데이터마이닝,21144,33212,23131,34132,12324,12412,33244,32114,22413,43312
44,생화학,23343,33213,31124,12324,22412,13141,14322,14343,? ,? 
,,22323,32232,32322,33332,32332,23233,22332,32232,? ,? 
45,고급간호연구,43332,11211,23424,12212,11433,34434,42443,42233,14111,14244
46,간호이론,33431,J4114,11424,14342,22433,44313,44323,41222,32311,24422
47,교육철학,42212,32413,33114,22123,41322,34324,41231,44434,12113,12214
48,평생교육프로그램개발,12143,32412,31221,34132,31144,13223,42422,22213,33423,31414
49,평생교육경영론,12213,32431,43322,34312,11413,22413,21232,23432,42143,22432
50,청소년교육개론,44323,32424,13412,21234,31423,42131,12214,44133,11244,31232
51,시민교육론,23112,44132,23141,34112,43241,23233,41244,13144,21314,11332
52,청소년육성제도론,32141,24411,42212,44333,14243,24232,43124,22143,41434,21333
53,아동복지,12423,33432,41414,23321,42214,44431,42442,24331,? ,? 
,,32223,33333,22223,32323,22323,23232,23332,33222,? ,? 
54,정신건강,32243,14224,21423,42211,32441,22343,41243,12432,41314,23413
55,아동미술,31214,21443,12442,11334,13221,33234,21324,43142,? ,? 
,,33322,32233,23322,23333,33222,33223,22232,23232,? ,? 
56,미술의이해와감상,33213,44144,33323,14142,43444,13213,13334,11422,22221,23433
57,전통사회와생활문화,14232,21231,42133,21312,14414,1342C,34422,11221,? ,? 
,,32323,23232,32323,23232,32323,23232,32323,23232,? ,? 
,,,,,,,,,,,
