1,문학의이해,31414,32432,13214,34324,14342,12143,21331,13124,33421,32113
2,대학영어,31124,33321,44344,24413,43121,43212,31442,32131,24231,13234
3,생활법률,33213,21331,34132,31143,44323,32343,12123,31343,? ,? 
,,배점,33232,23223,22223,33332,33322,33232,33232,22223,? ,? 
4,인간과교육,31414,44142,32443,1E334,31412,23342,34421,31223,12132,14213
5,철학의이해,41323,21432,13214,32231,41213,41341,22321,13412,13431,42431
6,생활속의경제,23431,14423,43412,22231,23413,21423,24123,44314,? ,? 
,,배점,32323,23232,32323,23232,32323,23232,32323,23232,? ,? 
7,인간과과학,13214,21131,23113,43243,41144,14143,34213,2K221,? ,? 
,,배점,33333,33333,33333,33333,22222,22222,22222,22222,? ,? 
8,인간과사회,42432,14244,31214,34242,43411,22431,44412,33122,43142,F1233
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
9,"성,사랑,사회",42431,23133,44442,42341,14434,34341,14133,44434,22441,43343
10,수학의이해,K2K14,42314,K3434,23224,23431,41342,21332,22342,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
11,인간과심리,13132,24341,21424,24213,32424,13421,13442,43424,33123,41142
12,취미와예술,14233,23413,24231,34324,41234,41232,41413,24231,23132,24132
13,현대의서양문화,44314,24213,44321,32412,12143,41432,43134,34211,? ,? 
,,배점,32232,33333,22222,22222,22223,33333,33333,32322,? ,? 
14,언어의이해,11131,22121,42312,32142,41134,23421,24231,11334,13222,21111
15,국어학개론,32123,13241,32144,21323,24144,21321,22341,32234,42132,34123
16,국문학개론,32134,13231,44243,41241,23221,41324,42434,43434,14424,34324
17,영작문2,21113,43243,11442,2133K,42342,43314,22133,44113,41214,34241
18,영국문학의이해,22143,21424,32143,21224,12312,42421,23114,24142,42313,42214
19,고급영문강독,13433,21414,24133,12343,34412,21233,42324,14323,41331,23234
20,중국고전문학의전통,31214,34313,43142,41312,42313,44233,12212,12142,? ,? 
,,배점,22333,33223,23332,22322,22332,32233,23332,22323,? ,? 
21,중국어초급회화,21413,23414,14234,21214,12422,13244,42123,41332,31421,43123
22,오늘날의프랑스,11413,24113,41224,11213,43334,24421,34234,13344,24421,14124
23,일본어문법,31312,43221,24314,23113,42131,31243,24123,41321,14323,34122
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
24,일본대중문화론,34324,42323,34211,23424,13124,31112,31432,44134,31224,11243
25,주식회사법,24321,32441,12344,31321,23443,21234,43211,23443,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
26,물권법,12312,33243,34431,14132,31322,42312,12322,32414,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
27,통치의기본구조,42312,34412,34414,23322,12143,24321,34321,34231,? ,? 
,,배점,32322,32323,22332,33222,32322,33323,32332,32322,? ,? 
28,정치학개론,33422,41433,11342,31441,23432,14124,43314,32122,? ,? 
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,? ,? 
29,기초거시경제론,32144,23411,14322,42133,14231,31242,14322,23411,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
30,화폐금융론,32432,11324,22322,23121,23211,32224,32214,32112,31341,31333
31,금융투자의이해,32422,33134,12134,43231,43332,12321,34321,31424,? ,? 
,,배점,22232,33333,23322,33333,22223,22232,23233,23322,? ,? 
32,원가회계,41321,14242,14322,34134,12241,43232,42343,14422,34242,34131
33,조직행위론,11123,32112,43414,41422,41212,43123,14442,21244,? ,? 
,,배점,33333,33333,33333,33333,22222,22222,22222,22222,? ,? 
34,해외시장조사론,43312,21412,33441,23141,22434,33242,13322,12423,11332,23421
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
35,대중영화의이해,13124,23241,34321,43412,12143,22134,34123,43412,12341,12344
36,커뮤니케이션과인간,33141,42441,21131,31243,23C33,11343,11111,42113,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
37,서유럽문화기행,23212,14314,31213,23213,13243,21232,14243,34142,? ,? 
,,배점,22233,33222,23323,33233,23222,22233,33233,23232,? ,? 
38,관광개발실무,12324,41141,32432,31412,34132,43332,24324,23231,? ,? 
,,배점,22222,23233,22232,33223,32223,33322,23333,32333,? ,? 
39,재배학원론,43424,43232,12434,33212,41114,14342,22434,11332,34121,41211
40,식생활과문화,31124,32421,32431,34213,23142,33141,42443,21443,21423,12113
41,의류소재의이해,21232,14231,22231,21324,12331,42423,12323,12112,24413,13341
42,가계재무관리,24213,32113,42411,44213,23212,34413,44241,31322,11431,24323
43,컴퓨터과학기초,22411,33421,24231,43221,32214,33212,14211,33214,23334,13214
44,JSP프로그래밍,32144,31423,44322,43243,43422,11333,34424,34333,? ,? 
,,배점,23332,33322,32232,23233,33323,22223,23323,22232,? ,? 
45,실험계획과응용,14324,32114,31231,43341,21312,44433,22331,41322,? ,? 
,,배점,22223,32233,33332,22223,23233,32233,32233,33222,? ,? 
46,생화학,23331,22414,14221,41243,43122,41422,13423,31221,? ,? 
,,배점,22232,23333,33222,23232,33222,33232,33233,22233,? ,? 
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
47,환경화학,41321,22413,44331,31212,22433,13414,31444,12444,? ,? 
,,배점,22223,23322,33323,32223,23233,32332,33322,32322,? ,? 
48,지역사회간호학,12432,32242,42214,31232,24412,22432,21434,23233,13313,12112
49,응급간호학,21143,24223,44211,22441,42314,31234,31234,12121,14314,23143
50,교육심리학,31443,14213,22213,14234,13244,32123,44124,43231,41334,21312
51,문화와교육,32123,14311,41214,32234,14334,12341,43423,24124,12342,13412
52,교육과정및평가,14322,31131,43142,22334,13244,13241,43442,13141,21324,11323
53,인간행동과사회환경,21213,41342,32324,32113,14412,14323,41312,31431,14313,24434
54,청소년지도방법론,43143,13211,23441,22423,12423,21411,14314,32413,? ,? 
,,배점,33322,32232,22233,22323,32323,33223,23322,32233,? ,? 
55,청소년심리,21423,43244,12333,44231,42344,13214,42132,14421,12124,33433
56,아동복지,23122,42243,32421,14141,23223,12442,11413,33142,? ,? 
,,배점,33223,23323,32332,22232,33232,32322,32332,32232,? ,? 
57,놀이지도,31413,32142,32113,24321,41132,12214,42333,14212,13213,43312
58,정신건강,44213,11341,12234,44331,14311,42324,23133,24123,43214,13212
59,미술의이해와감상,42311,34123,14234,34443,42143,21243,24333,21121,31423,31241
60,동양철학산책,34133,42431,24123,14241,33234,13423,14412,23243,41144,23214
,,,,,,,,,,,,
