24,헌법의기초,2,3,4,4,4,1,1,4,4,1,4,3,1,2,2,4,3,3,4,1,1,3,1,1,2,1,1,4,3,4,1,3,1,1,4,1,4,4,1,1,,,,,,,,,,
,,배점,2,3,2,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,2,3,2,2,3,3,3,2,2,2,2,3,2,3,2,3,2,2,2,3,2,2,,,,,,,,,,
25,행정학개론,4,2,4,3,1,3,2,2,4,1,2,1,1,3,4,2,4,3,1,2,1,4,4,4,2,1,3,3,4,4,3,3,2,1,4,3,2,4,1,2,1,4,2,1,4,3,2,1,1,3
26,기초미시경제론,2,3,3,1,4,2,3,1,1,1,2,2,4,2,1,4,2,3,1,3,2,3,4,3,4,4,3,1,4,4,3,2,1,1,4,2,1,2,4,4,,,,,,,,,,
,,배점,2,2,3,3,2,3,3,2,3,2,2,3,2,3,2,2,3,3,3,2,2,2,3,2,3,2,2,3,3,2,2,3,2,3,3,2,3,2,3,3,,,,,,,,,,
27,경영학개론,2,4,4,1,2,2,1,4,1,3,2,2,2,3,4,3,1,4,1,3,1,1,3,3,1,3,4,3,3,2,2,2,3,4,3,2,3,4,4,1,3,3,4,3,4,1,4,4,2,3
28,재무회계원리,4,1,2,4,3,1,1,3,3,3,1,4,1,4,2,2,2,3,1,4,4,1,2,2,3,4,1,1,3,4,4,3,4,1,1,3,4,3,3,2,1,1,3,4,2,3,4,4,3,4
29,재무관리,2,1,3,3,1,3,3,2,2,1,1,3,3,4,3,1,2,1,2,3,3,3,4,4,2,1,3,4,3,1,4,2,2,2,4,3,2,2,4,3,,,,,,,,,,
,,배점,3,3,2,3,2,2,2,3,3,2,2,2,2,2,3,3,2,2,3,3,2,3,2,3,3,2,3,3,3,2,2,3,2,2,2,3,2,3,3,3,,,,,,,,,,
30,국제경영학,1,2,2,3,4,3,2,2,1,1,3,1,2,4,4,2,4,3,4,3,1,1,4,3,4,3,4,4,3,2,3,4,1,2,4,2,2,3,1,3,1,2,1,3,1,4,1,1,2,2
31,무역학원론,2,3,3,2,2,1,1,3,4,1,3,3,1,2,3,2,4,2,3,2,1,4,4,1,1,1,3,2,3,1,3,3,2,3,1,1,3,1,4,1,4,4,2,3,4,1,1,2,2,4
32,뉴미디어론,3,1,2,4,2,4,3,1,1,2,3,4,4,3,2,1,4,1,2,3,4,3,4,2,4,4,1,2,2,4,2,2,2,3,1,1,1,2,4,3,,,,,,,,,,
,,배점,2,2,3,2,2,3,3,3,2,3,3,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
33,관광법규,2,3,4,1,3,2,3,2,1,4,2,3,4,1,1,4,1,3,1,1,4,2,1,4,2,3,3,1,3,3,4,2,1,4,4,2,1,2,4,2,3,4,3,1,3,4,2,3,4,3
34,사료학,1,3,2,4,2,4,3,1,2,4,4,3,4,1,3,2,4,4,3,1,2,4,2,1,3,4,2,1,4,3,4,1,3,3,2,4,2,3,2,1,,,,,,,,,,
,,배점,2,3,2,3,2,3,2,3,2,2,3,3,3,2,3,2,3,2,2,2,2,3,2,2,3,2,3,2,3,3,3,2,2,3,3,2,3,3,2,3,,,,,,,,,,
35,현대인의영양과건강,1,3,2,2,1,4,4,1,4,3,2,1,3,4,2,4,1,4,1,3,4,2,2,3,1,3,4,2,1,2,1,3,4,3,3,4,3,4,2,2,4,1,4,1,3,3,4,2,1,2
36,패선과문화,1,1,1,4,4,2,1,4,1,3,2,3,3,2,1,2,3,1,2,2,3,3,2,4,3,1,4,3,3,3,4,3,4,1,4,4,3,3,4,2,1,2,3,2,1,2,3,4,3,2
37,영유아보육학,2,4,2,3,1,2,3,1,1,1,2,4,4,4,3,1,2,2,1,3,4,3,1,4,2,3,3,1,3,3,3,4,4,2,2,1,4,2,1,3,4,4,2,2,1,2,1,3,2,1
38,C프로그래밍,4,1,3,4,4,3,4,2,3,2,4,4,3,1,3,2,1,1,1,1,2,3,3,2,1,4,4,1,3,4,4,1,4,2,1,2,3,1,1,2,,,,,,,,,,
,,배점,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,,,,,,,,,,
39,Java프로그래밍,2,1,2,1,4,2,3,2,2,4,4,3,1,2,2,4,2,4,1,2,3,3,4,1,2,2,4,4,1,2,2,1,3,1,4,2,1,4,4,1,,,,,,,,,,
,,배점,3,3,2,2,2,3,3,3,2,3,3,3,3,2,2,3,2,2,2,3,2,2,3,2,2,3,2,3,3,2,2,2,3,3,2,3,3,2,3,2,,,,,,,,,,
40,통계학개론,2,1,3,1,4,2,4,4,1,2,4,3,2,3,4,3,2,4,3,1,3,4,2,3,2,2,4,3,4,2,4,1,2,4,1,3,1,2,2,3,,,,,,,,,,
,,배점,2,3,2,2,2,3,3,2,3,2,3,3,3,2,3,3,3,3,2,2,2,3,2,3,3,2,2,2,3,2,2,2,2,3,3,2,2,3,3,3,,,,,,,,,,
41,작업환경측정,1,1,1,3,3,4,2,4,1,4,3,3,1,2,1,3,4,4,4,3,1,4,3,4,4,1,2,4,2,4,1,4,4,1,3,3,4,4,1,3,4,1,4,2,1,4,4,3,1,3
42,간호연구,2,1,4,3,2,1,1,2,2,4,3,2,3,1,3,2,4,4,2,4,2,1,4,2,3,2,2,4,3,1,2,2,1,1,2,1,3,3,4,1,4,2,2,1,3,3,3,1,2,2
43,생애발달과교육,K,1,K,2,K,3,1,1,2,2,4,2,3,3,3,2,3,2,3,3,2,2,2,3,3,3,2,3,1,4,3,3,3,1,3,4,4,3,1,4,,,,,,,,,,
,,배점,2,2,2,2,2,3,3,2,3,3,3,3,3,2,3,2,2,2,3,3,3,3,2,3,2,2,3,3,2,2,2,3,3,2,2,3,3,2,3,2,,,,,,,,,,
44,교육공학,3,4,1,3,1,3,2,1,4,2,3,1,2,4,2,3,2,4,1,3,4,3,1,4,2,1,3,2,1,4,1,4,3,4,2,2,3,4,1,3,2,4,1,2,1,3,4,3,4,1
45,상담이론과실제,3,4,3,1,1,3,2,1,4,4,3,4,3,2,2,3,3,3,2,2,2,2,1,2,3,1,3,3,2,1,4,4,4,2,4,2,3,1,4,4,2,1,3,1,4,1,1,2,3,1
46,인간행동과사회환경,2,4,3,4,1,1,2,4,3,4,4,1,2,1,4,3,2,1,3,1,4,2,3,2,1,4,1,4,3,2,4,2,1,3,4,1,2,4,3,1,4,4,2,2,1,2,2,4,4,3
47,청소년학습이론및지도,3,1,4,2,2,3,2,3,1,1,3,2,1,3,4,3,2,1,2,3,4,2,3,1,4,2,1,2,4,1,3,2,3,2,2,3,3,1,2,4,3,3,1,1,2,3,3,4,3,1
48,청소년육성제도론,4,2,1,3,3,4,2,1,2,4,3,1,2,1,1,4,4,4,2,4,3,4,1,1,3,3,4,4,4,1,3,1,3,2,2,4,4,1,2,3,2,1,2,3,2,1,4,1,2,2
49,아동발달,1,2,3,2,3,3,3,1,2,2,3,3,1,4,1,4,2,4,1,3,3,2,4,1,3,2,1,1,2,3,3,4,1,3,2,3,2,1,1,3,4,1,1,4,4,2,3,3,1,2
50,아동생활지도,3,2,2,1,3,4,2,3,2,4,1,2,3,1,4,2,3,1,2,4,1,4,2,3,3,1,1,4,2,2,3,2,4,4,1,3,1,3,2,4,,,,,,,,,,
,,배점,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,2,2,2,3,3,2,3,2,2,2,3,,,,,,,,,,
51,유아교육개론,1,1,1,1,3,3,2,2,2,2,3,3,4,3,4,1,3,4,2,3,2,3,1,4,3,2,1,4,4,3,3,4,4,1,3,4,2,4,1,2,4,3,3,4,3,3,3,2,3,2
52,신화의세계,3,3,1,2,2,4,3,3,4,2,B,1,3,4,4,3,3,2,3,2,3,3,1,4,3,1,3,4,2,3,1,1,2,2,3,4,1,3,4,3,4,2,1,3,1,2,3,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
