1,문학의이해,13432,11314,42413,43213,32424,33421,23121,34311,21233,32441
2,대학영어,23431,42214,33214,13123,34122,12141,43144,13414,21322,43244
3,생활법률,12423,14343,22234,14133,43311,21313,32342,13123,? ,? 
,,32222,33322,32223,32233,33322,23233,33322,22233,? ,? 
4,인간과교육,34341,21431,23423,21324,12433,22414,21431,34233,21212,14143
5,인간과과학,42123,13214,33211,42411,24234,14132,44213,31124,? ,? 
,,33333,33333,33333,33333,22222,22222,22222,22222,? ,? 
6,철학의이해,32122,34214,34313,41423,41142,44124,31441,42421,23432,31243
7,"성,사랑,사회",44233,33213,31424,11341,43233,33242,13323,13432,14213,31414
8,인간과심리,31331,42414,22421,33224,24143,34342,22142,21342,22213,42144
9,현대의서양문화,32112,34431,33334,14412,11224,11433,11323,42224,21143,43131
10,언어의이해,33232,14121,23421,21342,33122,32431,21121,23312,41141,11332
11,수학의이해,43122,41423,13132,24231,24312,43412,34332,32324,? ,? 
,,22222,22222,33333,33333,22222,22222,33333,33333,? ,? 
12,인간과사회,11132,42411,31124,43212,21342,22313,21242,31134,42231,44313
13,취미와예술,24431,12233,44311,23413,31223,11223,44214,12434,31111,42213
14,생활속의경제,14344,23314,23311,23413,D2444,21134,12214,13141,? ,? 
,,23232,32323,23232,32323,23232,32323,23232,32323,? ,? 
15,국어학개론,43212,41324,31323,31244,21324,11234,24312,14323,21421,34123
16,현대시론,22423,41121,33114,31214,44422,11233,12343,13314,33444,44431
17,영국문학의이해,22413,31414,13224,14423,42124,12242,41244,14323,13413,41344
18,미국의사회와문화,42214,21214,12324,34211,22244,11242,14324,21224,41321,24343
19,영어회화2,41423,21341,31244,32113,32332,44323,24434,41213,22212,11413
20,초급중국어2,14213,24321,43224,11332,24142,34112,43213,43142,? ,? 
,,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
21,중국어문법,41322,22313,23314,42124,32231,14334,11432,11114,34414,42322
22,오늘날의프랑스,24222,11344,13342,33143,21424,43224,13323,41232,43123,42323
23,일본고중세사,24314,12443,12232,31131,33113,12112,33112,24442,? ,? 
,,23322,33322,22332,33232,22233,22323,33232,33232,? ,? 
24,일본인의경제생활,34311,42132,42244,22331,41332,42344,44131,31414,14443,44222
25,주식회사법,32412,34321,12343,21123,43212,3C321,23443,21234,? ,? 
,,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
26,통치의기본구조,44444,34133,32111,13124,21412,23244,41244,22221,? ,? 
,,33333,33333,33333,33333,22222,22222,22222,22222,? ,? 
27,소비자법,23123,41432,31243,34122,31431,21232,43323,13124,31143,42314
28,사회복지정책론,31233,13222,14321,44112,44132,23322,34411,32114,? ,? 
,,23232,23232,32323,23323,23232,32332,23332,23223,? ,? 
29,한국정부론,21344,12331,21434,23121,34412,23433,11224,32123,? ,? 
,,22222,33333,22222,33333,22222,33333,22222,33333,? ,? 
30,기초거시경제론,13424,21334,12143,22413,12433,13424,31324,13421,? ,? 
,,22222,22222,22222,23333,33333,33333,33322,22333,? ,? 
31,수량경제분석입문,24132,34414,24332,21431,13422,11242,41414,33231,? ,? 
,,32323,23222,32323,33233,23322,32323,33222,22323,? ,? 
