1,문학의이해 ,14232,13431,14332,23312,13411,24132,21232,14223,42314,31424
2,대학영어 ,21144,31321,44323,21342,34123,24412,24143,31243,41233,12134
3,여가와삶 ,34231,22433,12341,22323,31423,24132,33243,21432,33442,34132
4,인간과교육 ,44312,24213,43321,13421,23242,33434,12313,14211,41212,13434
5,인간과과학 ,23143,24134,12324,12413,43132,41322,43132,22343,***** ,*****
6,인간과사회 ,21341,33242,34314,21442,33223,14342,14231,34123,41324,23141
7,철학의이해 ,34234,34442,41114,14141,23321,44331,13334,44344,14223,13131
8,언어의이해 ,44333,34432,43222,41412,43211,11121,131C3 ,42212,***** ,*****
9,인간과심리 ,31421,21313,42413,31323,24234,11313,12123,42213,23212,12441
10,국문학개론 ,12433,24242,31423,42314,34131,44234,14243,42321,41212,44212
11,현대문학사 ,32413,42144,34214,11422,24221,31424,21344,31232,41324,41321
12,영국소설1 ,43323,14144,21124,33132,44211,21244,42322,42331,34243,11231
13,영국문학사2 ,41243,14213,21321,23123,14123,21424,14124,14413,34134,24132
14,영어음성학 ,42132,14321,43231,34231,21341,32414,32214,31243,13423,21442
15,중국의종교와사상,13143,24134,31214,31323,33132,14314,14342,11324,***** ,*****
16,고급중국어2 ,31144,23414,13313,31333,31214,13142,21233,21141,14122,22211
17,오늘날의프랑스 ,22441,21343,44412,13331,14342,43212,24313,41243,31441,31214
18,일본인의경제생활,23232,24311,32442,23412,34332,13322,21424,41322,24244,31223
19,일본전통사회의이해,44231,43241,23112,13321,42244,13122,31413,43243,***** ,*****
20,통치의기본구조 ,43121,44213,44113,11443,44112,21434,13442,44244,***** ,*****
21,행정법2 ,24132,42B12 ,42431,24231,43212,31342,31424,32132,13243,24123
22,기획론 ,34334,13121,24133,22422,31441,23114,32421,23342,12341,44213
23,도시행정론 ,24432,42142,44212,42423,22342,34314,42224,24323,***** ,*****
24,국제금융론 ,43222,43444,42442,13334,32241,13231,11131,21323,33233,12431
25,기초거시경제론 ,21443,23143,14342,31144,21434,42123,23213,12413,12324,21312
26,경영의사결정론 ,24121,22312,41134,44323,23334,22114,12113,32321,13332,13441
27,투자론 ,12322,31112,33443,31414,32131,42132,21133,11323,***** ,*****
28,경영전략론 ,14343,41214,12412,41121,21433,31243,41422,44313,21232,41K42
29,세계지역경제론 ,34132,31231,33124,43344,24312,24231,44124,23124,34231,23234
30,방송기획제작의기초,42331,31434,21442,12344,22343,41321,14223,14222,43312,31211
31,미디어연구방법 ,42214,12431,33142,12314,32441,21234,14231,43321,24134,12423
32,외식산업론 ,13422,31443,12324,12341,31144,12342,13234,12134,14323,14231
33,생물통계학 ,21231,24341,42212,34142,23113,34224,14342,33232,23313,43431
34,인간발달 ,23414,32133,11233,44413,22331,11432,E4233 ,32143,33132,34321
35,식품저장및가공 ,44121,44221,34312,43442,21441,42124,21242,11141,41214,12341
36,의류소재의이해 ,32422,14314,31432,43142,13213,34232,24431,23231,34232,12241
37,멀티미디어시스템,31122,21334,14443,21143,33242,11424,14334,21334,42112,33143
38,선형대수 ,13234,14242,44423,14223,32231,31242,42314,13131,***** ,*****
39,회귀분석 ,23241,33412,21324,32434,23241,32234,23134,13243,13334,24423
40,환경화학 ,11412,12421,13444,32114,23243,14124,43111,14144,43132,42123
41,지역사회간호학 ,43341,34332,12342,33434,32244,23423,44223,33433,***** ,*****
42,고급간호연구 ,43442,43444,42131,24143,22412,34124,34341,11244,13424,14321
43,교육심리학 ,13412,11242,43131,23332,22134,43143,32142,33431,21442,41214
44,평생교육론 ,14123,24314,23214,13423,12341,42132,21432,31241,34123,24314
45,교육과정및평가 ,41124,31344,21323,24311,24332,14142,31324,21314,12434,21124
46,시민교육론 ,41341,31123,33141,34231,44232,41334,24114,43313,23122,24341
47,인적자원개발론 ,12143,3K433 ,22232,23443,24143,43213,32441,23144,31141,43343
48,청소년활동론 ,43321,42234,31234,41242,42143,21423,14441,23431,32424,22131
49,놀이지도 ,42133,13224,12431,31423,24123,24134,12343,12431,32341,21342
50,아동교육사 ,13213,34123,23142,11334,21341,23224,34123,14223,12342,43132
51,유아동작교육 ,44331,24142,43324,34412,44141,22222,22414,12441,23232,13422
52,"성,사랑,사회",43123,24322,41123,14413,34423,12431,32432,14413,34423,12431
