2016학년도 1학기 기말시험 정답표
2,인적자원관리론,31422,13432,42213,32122,34231,? ,? 
2,재무행정론,14324,3K232,K2114,322K1,43312,? ,? 
2,행정통제와윤리,21443,12211,41312,12443,14224,? ,? 
2,고급미시경제론,24343,21434,33111,24232,23224,23144,31141
2,세계경제의역사,44314,31122,34211,11232,31411,24113,24114
2,경제통계의이해,14243,43324,12234,11314,42323,? ,? 
2,재무회계원리,23414,21242,14K24,213K1,23431,14134,23121
2,경영분석을위한기초통계,34333,43333,24233,33424,33124,13431,32342
2,마케팅론,21344,22222,13121,31443,24333,14412,41121
2,인적자원관리,42121,43221,12311,42233,43331,11232,32434
2,국제경영학,13214,31242,12243,42133,21332,41211,32241
2,다국적기업론,31242,12243,42133,21332,41211,32241,13214
2,무역계약과상사중재론,41323,21423,44111,31324,41342,13341,32232
2,사이버커뮤니케이션,41322,41413,44132,11313,32114,34244,43341
2,대중문화와영화비평,13124,21243,23341,42431,34412,12343,12124
2,관광마케팅,23414,23311,22412,33421,13223,44141,22134
2,항공예약발권1,KKK13,41422,33213,21412,43112,? ,? 
2,관광법규,23144,42444,43121,41322,21134,21213,24224
2,가축의개량과번식,31423,14212,22241,42134,42322,41143,23131
2,농업유전학,13234,12324,44333,31423,22433,42332,24313
2,농업생물화학,42324,11433,21243,13434,14323,13242,24313
2,인체생리학,13244,21244,13414,33242,24231,21143,12422
2,패션디자인,21311,32244,31211,44124,12143,24341,41213
2,가사노동·시간관리,13441,14223,13124,23112,41234,21323,31233
2,이산수학,34142,31341,22231,24134,31244,? ,? 
2,HTML/XML,22431,12314,11423,34212,41342,? ,? 
2,Visual C++프로그래밍,14222,43423,31344,24324,12331,? ,? 
2,엑셀데이터분석,34234,14333,44241,11441,21314,? ,? 
2,국가통계의이해,22332,22223,33311,31213,14331,34332,31441
2,실내공기오염관리,34212,24232,23232,31433,21413,142C1,41442
2,수질관리,32221,2413A,11343,23431,43424,? ,? 
2,생활폐기물관리,24432,43331,12343,14124,21123,44424,12334
2,다문화교육론,2124C,44313,14211,42323,24214,31322,21243
2,교육과정및평가,33432,24143,12133,11444,23414,21312,14132
2,청소년학습이론및지도,34423,31143,33142,41131,31444,13314,22214
2,세상읽기와논술,32214,33341,23231,42431,23242,32112,42213
2,세계의풍속과문화,42211,3D412,44211,24331,1F413,? ,? 
2,유럽바로알기,13442,14313,42341,32423,31423,? ,? 
2,정보사회와디지털문화,23214,44322,41324,21333,24233,41131,34141
2,청소년상담,34414,23243,32442,41414,24423,42112,43233
3,글과생각,33413,23214,23132,14341,33124,32214,41234
3,고전소설강독,13422,41321,43142,33234,22114,41314,24343
3,우리말의구조,43342,14131,42243,43122,13142,31432,11234
3,서사문학의이해와창작,34112,23442,13123,44123,42113,32441,23121
3,고전시가론,41223,42431,21442,32342,42413,32431,42423
3,문학비평론,24132,12423,43224,41332,34141,34412,43143
3,테스트영어연습,41221,43143,44213,34432,41123,14413,44231
3,영어학의이해,44324,13122,32214,32331,24114,33121,43423
3,영어교수법,21343,42214,41213,32324,31442,32114,2D431
3,영시읽기의기초,44311,23414,34243,31233,12321,14232,21413
