2011학년도 2학기 기말시험 정답표(전학년)
2,영상학,12413,24213,43231,43124,34241,33241,21214
2,설득커뮤니케이션,43213,41212,34241,33124,21432,43143,21213
2,통합마케팅커뮤니케이션,32113,23144,34433,43412,24134,11344,42323
2,여행사실무,23311,34232,23424,34144,14232,21432,12443
2,호텔산업의이해,31243,41224,13123,42341,31422,43131,24432
2,서유럽문화기행,24313,43234,31122,33324,34213,44312,23413
2,가축영양학,21124,11114,43232,24124,44312,23334,32421
2,애완동물,44114,13212,34422,44221,42422,41242,23244
2,재배식물생리학,42141,42141,34133,31134,34433,12311,11441
2,영양학,13221,23112,13323,21443,14212,31132,32142
2,가계경제론,24334,24223,43121,23413,21314,31214,14122
2,한국복식문화,14333,14124,31341,33241,44312,12423,32123
2,자료구조,23143,22313,22432,13432,31241,43132,13423
2,선형대수,21343,12434,42243,11322,34141,? ,? 
2,프로그래밍언어론,23412,14111,14233,14321,23242,? ,? 
2,확률의개념과응용,43123,11314,21412,44234,32311,? ,? 
2,여론조사의이해,33423,11423,14434,23331,31432,22321,14342
2,데이터처리실무,41334,32334,23422,23144,43322,14313,14322
2,산업보건학,42423,44233,13344,41231,41142,14311,11124
2,생화학,23444,34413,11323,33443,21431,24421,24313
2,의료사회사업론,14233,14213,44314,23241,23343,14233,14413
2,평생교육론,41212,33141,32143,42234,41432,34121,32143
2,인적자원개발론,43131,32113,13442,13342,44123,13422,31244
2,유아교육철학및교육사,23213,41323,22342,13214,32142,31214,32213
2,유아수학교육,34341,21141,24313,42142,12324,32441,22243
2,아동문학,34442,34231,22324,21441,34111,44242,22424
2,역사의현장을찾아서,14321,44322,F2134,24423,123C4,24B44,42323
2,생활속의경제,32243,43132,14213,41424,14342,14432,31221
2,독서의즐거움,14212,43321,31234,42142,11244,34223,14331
3,인간과교육,31431,32443,24312,41112,42C34,21143,23412
3,소리와발음,43432,12123,42332,21334,24232,12122,13341
3,현대시론,43314,23423,24331,14213,33243,11143,42322
3,고소설론과작가,31241,43221,44134,24411,23124,32413,24123
3,근현대문학사,11432,24321,24131,23241,34431,31234,12344
3,중세국어연습,42421,31423,43213,14241,22321,33223,34431
3,영어발음의원리,23213,41231,31324,13241,42212,34314,21344
3,영어회화1,32114,44313,32113,21414,42121,43234,24322
3,영어회화2,12432,32142,43334,31134,24311,32221,42124
3,현대세계의이해와영어듣기,23141,23121,42134,24242,13143,21421,33414
3,영국문학의이해,42334,13214,23321,34331,42312,43434,41412
3,영작문2,2433K,11213,21214,34421,13124,32424,41112
3,고급중국어2,44131,41124,1K314,32143,K1141,14112,11K13
3,중한번역연습,43232,12122,41323,14432,14144,13212,13443
