2014-2기말시험정답표(전학년) 최종
2,가축영양학,13322,34144,31142,11232,33441,43423,41111
2,애완동물,23324,42223,11241,24424,42234,334F3,24314
2,재배식물생리학,31242,31241,22443,24123,43412,34323,44113
2,가계재무관리,24K31,41344,23212,31422,13132,42311,43424
2,패션관리와스타일링,11313,12212,31314,43114,42124,13324,13244
2,아동영양학,22431,11224,12213,42112,233KK,43214,41314
2,자료구조,14321,33242,31432,43223,11443,,
2,선형대수,41323,24143,31221,43421,1432K,,
2,프로그래밍언어론,41224,42323,413G1,12423,41213,,
2,확률의개념과응용,21231,31414,13243,44231,23144,,
2,여론조사의이해,13311,42223,44231,13341,14222,24211,23233
2,데이터처리와활용,43221,34232,12433,12423,21423,,
2,산업보건학,1421D,44133,14141,41432,4A132,11413,23234
2,의료사회사업론,42231,23224,34243,32144,34243,24312,42244
2,청소년심리,44223,1D223,23343,24322,24433,34332,12342
2,인적자원개발론,33414,43244,31141,44421,41242,32124,12443
2,여성교육론,21413,23243,24143,32442,41243,43231,12343
2,유아교육철학및교육사,31132,43131,32313,24322,14232,44123,41422
2,학교폭력의예방및대책,34333,43423,43423,33313,333K2,24243,13311
2,유아수학교육,13221,24242,31343,12112,33414,31323,32113
2,아동문학,42332,41432,44323,34322,13412,14331,32414
2,역사의현장을찾아서,24132,24342,44124,13224,14124,2342K,K3122
2,생활속의경제,13114,22343,22424,41341,41423,,
2,독서의즐거움,14124,33423,13314,31124,33212,34122,423KK
2,사회복지실천론,43413,21433,21431,32421,24313,,
3,인간과교육,32144,23412,33234,24311,31213,44241,34212
3,통일인사이드,41342,43213,43324,44231,22312,44K31,44134
3,현대시론,11313,43132,43423,32231,43334,31241,34311
3,고소설론과작가,42131,44413,32213,13432,11323,23413,44344
3,근현대문학사,23314,14221,34113,41224,33124,12213,41441
3,중세국어연습,22141,32134,41332,43214,44312,13234,12343
3,영어발음의원리,34313,14332,13123,42134,24124,11222,41243
3,영어회화1,42114,21322,12213,31431,44411,43323,23342
3,영어회화2,31131,33213,42143,43A42,3423A,14242,22144
3,현대세계의이해와영어듣기,13411,31134,13433,44122,41412,31233,21431
3,영국문학의이해,32423,24144,32123,41242,33324,31324,21431
3,영작문2,23421,43321,14J43,21434,31412,31241,13412
3,고급중국어2,24431,42423,23142,41234,22412,31432,14232
3,중국의사회와문화,13413,42112,4K433,23412,41332,,
3,중국명문감상,32433,41232,33123,42213,12341,34223,34214
3,중국어듣기연습2,41341,22411,34343,32341,14132,,
3,봉쥬르프랑스,31214,32314,14243,21432,31224,12134,12431
3,프랑스어회화2,34123,41242,34124,32134,32123,13121,43241
3,프랑스어학의이해,43332,13124,44132,24314,33141,11331,24441
3,델프연습,23214,24212,32142,13212,44213,,
3,카뮈와위고선독,13322,14223,43142,41221,11334,32144,23144
3,현대일본경제의이해,22324,12231,31231,24131,44431,24314,14322
3,현대일본정치의이해,33421,32111,42231,42133,44241,33244,3124K
3,일본대중문화론,31421,44324,24K32,31431,13243,42311,21232
3,일본의시와노래,32343,42K34,42422,42433,42321,41134,22434
3,중급일본어활용2,42141,34441,12422,43331,14321,23114,41332
3,지역사회교육론,42113,42213,24312,43341,13214,23142,32341
3,교육사,43223,13311,34412,42432,31131,21342,44114
3,교육사회학,31414,22344,21341,14113,24242,12433,31324
3,유아사회교육,21432,41341,32134,24132,43214,23413,21231
3,교과교육론,42141,24113,33442,34241,13114,23243,14232
3,교과교재연구및지도법,33412,42324,34212,43124,33324,11411,11133
3,생활법률,42323,43F13,34413,44111,41441,23432,34343
3,개별행정법,24344,22234,34242,21311,12343,,
3,주식회사법,13421,42341,32432,21434,41113,21242,34313
3,소비자법,43311,23412,13421,34114,43321,23224,31431
3,법철학,13423,44214,22134,11433,43431,32142,32344
3,인권법,43132,32413,44213,24244,31231,,
3,남녀평등과법,21142,21323,32112,34324,13342,14141,43222
3,행정조사론,33413,34213,34232,23444,44433,,
3,행정사례연구,14224,33142,43241,32133,13421,,
3,도시행정론,32142,23122,32422,44333,12444,,
3,정책학원론,31241,24321,13442,13213,42314,,
3,한국정부론,23132,14342,31134,23122,23313,,
3,화폐금융론,32121,14134,14412,32133,21114,33341,33123
3,노동경제학,12332,12312,23313,43142,22323,,
3,증권시장과금융상품,33424,33431,31234,13242,34134,,
3,국제금융론,24344,24133,23212,23142,442K1,42341,2222B
3,원가회계,11431,43242,14212,31423,13432,11221,11231
3,금융투자의이해,43342,21214,41331,34232,31421,,
3,마케팅조사,13221,11143,22442,32142,13143,11234,21422
3,물류관리,14242,14314,33444,13213,43423,32321,14122
3,국제무역정책,34323,21311,13122,21312,42431,32211,22233
3,무역영어,24234,22342,13421,11443,23342,42314,11311
3,산업구조와경쟁,11243,24231,32114,22114,41112,41242,24243
3,국제광고론,21121,43331,33244,43223,44414,31442,21243
3,국제경영전략,24211,14223,43322,12421,31322,12432,3F241
3,스피치커뮤니케이션,31233,13113,14432,22211,42241,24313,12124
3,뉴스취재와기사쓰기,44131,13311,2142D,21434,1132E,,
3,멀티미디어기획제작,23112,31324,31422,41221,11341,14424,24443
3,방송기획제작의기초,21341,33243,14231,21342,43232,31342,13234
3,미디어연구방법,24132,12444,31143,44223,23214,32421,31243
3,컨벤션산업론,44323,F44F4,24323,22322,14214,31211,43321
3,관광연구의이해,23324,32211,41324,44233,12243,14231,31414
3,관광개발실무,24231,33424,12314,23321,43131,34231,33112
3,항공예약발권2,13421,41232,14243,22411,4J233,,
3,외식산업의이해,14221,33411,13424,22314,42133,41322,24431
3,환경친화형농업,42223,23241,14113,24234,13141,42442,44233
3,재배식물육종학,13411,31342,12134,41212,42331,B4122,C4412
3,생물통계학,23411,42122,32421,14332,43114,32323,41241
3,생활원예,33233,21114,41221,13422,22314,24324,13323
3,고급영양학,13321,13241,43224,42234,14311,42442,21342
3,조리원리,21124,34134,32133,42124,23441,21123,31423
3,가정관리학연구법,24111,32341,22134,12421,34323,23433,41241
3,임상영양학,12243,11244,12133,24213,22324,33423,13341
3,영양교육및상담,31423,32444,42344,44444,41221,32443,12241
3,단체급식관리,41242,13A12,44241,31K32,41334,13124,41123
3,의복구성의실제,41434,34233,24332,13443,31323,33214,14322
3,지역사회복지론,33122,41134,44241,31232,32213,C2311,23144
3,색채와디자인,22432,24123,33313,22343,23411,22112,41443
3,한국복식문화,32342,14143,43213,23141,34243,24124,24132
3,가족관계,22441,23133,44142,12241,24112,32131,12241
3,디지털패션표현,31344,24131,34214,K2232,23144,22313,11241
3,서양복식문화,42232,33112,13343,34213,13343,23243,21242
3,소비자와소비생활,43123,23134,32114,32421,31444,31433,12432
3,컴퓨터구조,33241,32134,23314,33123,24412,41132,14142
3,데이터베이스설계및구현,42111,23444,24141,34331,14214,,
3,JSP프로그래밍,43214,24241,21131,31113,42313,,
3,UNIX시스템,22412,312K4,33233,43333,41331,,
3,컴파일러구성,13432,34311,14124,32342,31233,22431,13224
3,보건정보데이터분석,3413I,32423,12324,A1421,23241,,
3,회귀분석,34143,21321,24441,32142,32341,,
3,품질경영,24313,K2423,14214,22434,24141,,
3,표본조사론,14413,22343,21331,31331,24121,,
3,실험계획과응용,12423,41413,22344,3234K,23124,,
3,보건통계학,41234,23132,33142,12132,23214,,
3,상하수도관리,32114,K4123,43234,23234,24221,,
3,작업환경관리,33433,214K4,33122,44132,212K2,,
3,환경보건학연구방법,41324,41424,24123,12423,11334,21343,34133
3,환경미생물학,13244,23242,11312,23122,43433,12412,32434
3,간호이론,34241,34413,14131,32111,32241,14422,24141
3,지역사회간호학,13144,142K2,44343,21321,44232,24311,442K3
3,응급간호학,34213,14112,23431,32413,24241,32413,23214
3,고급간호연구,43242,43123,42313,22341,K3414,32142,13334
3,인간행동과사회환경,32434,11322,14321,11112,32321,41133,32231
3,청소년문제,31223,23314,31244,41232,23411,23434,4A142
3,청소년지도방법론,23342,22322,41111,43344,22143,31312,12141
3,평생교육경영론,24313,22214,32332,43113,21412,22331,1D242
3,평생교육프로그램개발,21432,42114,22312,33422,41143,31222,43311
3,청소년프로그램개발및평가,13323,22412,24432,14424,33414,12334,42134
3,사회복지조사론,21414,23421,33412,14321,32214,32143,14332
3,교직실무,33321,13411,24242,14342,12411,31432,43322
3,유아동작교육,32414,32321,41433,44233,42131,14331,43332
3,전통사회와생활문화,21414,11132,21142,14433,21313,43123,43443
3,동양철학산책,43223,21424,41231,32323,32232,13231,23124
3,음악의이해와감상,1434F,31233,42413,22132,21243,32344,F1234
3,예술경영과예술행정,42231,44321,22414,312D2,33144,32233,24214
3,생명공학과인간의미래,14342,12132,43214,34322,41334,,
3,집단상담의기초,42213,44344,12442,23212,22444,11123,24333
4,현대의서양문화,34123,13131,43321,34424,14131,44411,34231
4,현대소설론,32123,34234,44242,41142,32141,32222,43344
4,한국희곡론,24314,11441,22413,31323,21241,34233,34411
4,한문고전강독,23342,34414,43323,41223,44232,44323,42332
4,한국어교육론,13213,44113,44132,23334,32421,24424,34431
4,언어와의미,42321,44113,12443,24121,21314,22344,32243
4,국문학연습,12243,11411,12234,13442,33423,23342,13421
4,영어의역사,21342,31124,34211,34322,13432,E1432,41234
4,영미시,14123,31221,31423,13214,13143,42314,21324
4,고급영문강독,14343,22414,43332,33122,22214,23312,21334
4,중국어작문,41332,34411,23412,32231,41123,41214,13242
4,영상중국어,34223,24312,23431,34131,24144,31241,22424
4,중국시사텍스트특강,31214,33244,13144,22413,32414,,
4,중국현대문학작품선,41312,43213,12431,34422,41431,,
4,오늘날의프랑스,14313,21331,22442,14F33,24322,21432,34432
4,프랑스어와문화,43411,44343,24322,14321,42231,12114,31123
4,프랑스어권연구,32434,44211,14243,34142,31121,23432,41243
4,시사프랑스어,34224,13142,33123,14312,24122,43143,31241
4,전근대한일관계사,32434,21413,C4324,D1324,22413,,
4,일본문학의흐름,32312,32233,12244,23242,14123,31421,33423
4,일본학원서강독,31421,32441,11311,24342,42313,34212,32414
4,일본의언어와문화,32124,31324,21421,33214,31432,42231,43214
4,교육심리학,44221,11233,32412,43322,24144,32314,14113
4,교육행정및경영,21142,34411,33421,32414,13231,41324,23411
4,유아교육기관운영관리,13341,21343,13411,23134,41323,24222,41244
4,아동복지,33344,31344,31242,24142,23121,32313,21224
4,특수아교육,23343,24332,42324,33313,21133,13213,33431
4,통치의기본구조,24132,14241,23413,33212,14342,,
4,형사정책,34241,43412,33143,44231,23422,,
4,국제법,13122,24124,32443,12312,34232,32414,13431
4,친족상속법,21433,13123,13141,11243,14312,42134,32231
4,세법,21443,21411,22313,34134,43214,42413,12141
4,환경법,44112,22331,22431,34411,14342,32142,21112
4,공공관리론,43343,11431,23143,12122,42241,,
4,정책분석론,14312,31423,42341,13442,43221,,
4,행정변동론,32122,34122,12322,34442,21143,,
4,사회복지현장실습,,,,,,,
4,정부기업관계론,13432,31331,12231,31113,43214,,
4,한국경제의이해,31441,24132,44242,11324,11233,,
4,부동산시장과정책,22421,31344,43311,32113,13314,43321,34421
4,보건경제학,12432,33114,13423,K3443,41412,41112,13414
4,환경경제학,21413,44313,31341,24243,32122,23124,34214
4,경영전략론,23431,41341,32413,12234,23412,21222,44413
4,경영학특강,34144,21414,42142,34411,13222,12123,44223
4,비영리조직경영론,12124,23112,12414,21421,31442,11324,23344
4,금융제도론,43324,12334,13411,43214,11423,41143,34121
4,마케팅특강,43314,22343,14224,12212,21132,22112,43314
4,한국무역론,14421,34212,32131,11234,22333,41312,42443
4,무역법규,31124,33423,31121,31421,22421,44423,34334
4,국제경제환경론,41432,44214,32213,33323,441F3,23424,11324
4,국제물류론,23324,14212,41323,13434,12213,24414,32143
4,글로벌미디어,31334,21343,23312,41323,24212,12324,24121
4,홍보론,42314,21334,23322,41332,44121,42232,43411
4,TV드라마제작,44123,41342,23332,31213,32323,23333,44444
4,영화기획제작,43124,23431,32124,21314,34241,33124,34212
4,기업광고와브랜드커뮤니케이션,32143,42331,34233,13323,11414,24223,31342
4,지역관광론,32413,41343,32243,31443,12321,22434,22313
