2013학년도 2학기 출석수업대체시험 정답표
1학년,인간과사회,22431,12234,12332
1학년,초급중국어2,42232,13134,21241
1학년,대학영어,12431,24312,42332
1학년,초급프랑스어,41232,34124,34234
1학년,국어학개론,23134,24413,13421
1학년,국문학개론,13234,23143,12131
1학년,영어듣기연습,11413,21412,21224
1학년,생활영어,41142,32433,11243
1학년,중국고전문학의전통,44131,44323,23132
1학년,생활프랑스어,12243,13412,12312
1학년,일본어기초2,14224,12241,34321
1학년,일본고중세사,43422,33341,14342
1학년,교육심리학,31134,23344,21214
1학년,통치의기본구조,32122,33232,23343
1학년,물권법,13443,24431,22322
1학년,형법각론,42122,34341,33412
1학년,정치학개론,34124,13221,34412
1학년,발전행정론,23124,14221,4322A
1학년,기초거시경제론,31243,31412,32412
1학년,IT와경영정보시스템,21314,24213,32122
1학년,조직행위론,33212,32332,44231
1학년,세계지역경제론,23232,41234,34KKK
1학년,유럽지역경제론,41211,33443,11242
1학년,커뮤니케이션과인간,32411,12332,13113
1학년,대중영화의이해,13241,22341,33441
1학년,저널리즘의이해,43214,21342,13214
1학년,관광경영론,12332,43134,13214
1학년,축산학,23321,24342,43441
1학년,재배학원론,23112,22343,24124
1학년,의류소재의이해,32411,33122,34424
1학년,인간발달,34211,31423,11421
1학년,컴퓨터과학기초,14423,32334,11342
1학년,생활과통계,24133,14321,34232
1학년,환경화학,24323,44113,43424
1학년,보건행정,13422,13414,23234
1학년,인간행동과사회환경,23123,4E343,43231
1학년,시민교육론,42114,21123,31213
1학년,원격교육론,22412,24334,21424
1학년,청소년과부모,11432,23344,41KKK
1학년,놀이지도,43241,13KK4,32314
1학년,인물로본문화,42413,12242,31244
1학년,미술의이해와감상,13224,23312,41432
2학년,철학의이해,13241,21312,11314
2학년,문학의이해,32441,23431,14223
2학년,고전시가강독,12414,13411,34321
2학년,맞춤법과표준어,23314,33421,32124
2학년,드라마와영어듣기,32KK1,32434,23224
2학년,영작문1,12314,42313,24234
2학년,중급중국어2,14321,41323,23441
2학년,중급한문,13333,24244,11211
2학년,프랑스단편소설,21434,13223,12423
2학년,프랑스어의구조2,42331,24123,23413
2학년,일본어활용2,31244,14231,23432
2학년,일본인의경제생활,34432,11343,212K4
2학년,교육철학,41312,43421,43133
2학년,교육사회학,32413,22234,31312
2학년,기본권의기초이론,14231,33124,34134
2학년,주식회사법,24311,24331,21134
2학년,노사관계법,14134,12314,24312
2학년,기획론,41422,34124,34413
2학년,사회복지정책론,23144,13232,11332
2학년,고급거시경제론,42234,14141,33413
2학년,수량경제분석입문,21412,33224,23141
2학년,경영의사결정론,23423,34124,23421
2학년,관리회계원리,23414,24123,13413
2학년,산업구조와경쟁,K3341,21132,42224
2학년,다국적기업론,32124,34122,43241
2학년,영상학,44123,33412,22341
2학년,설득커뮤니케이션,34124,32112,34123
2학년,통합마케팅커뮤니케이션,23432,12124,12334
2학년,여행사실무,13444,43133,44132
2학년,호텔산업의이해,34341,22321,44321
2학년,가축영양학,24432,31232,11414
2학년,재배식물생리학,42432,22123,41114
2학년,아동영양학,14313,12342,11212
2학년,자료구조,13311,44323,24114
2학년,선형대수,34132,14232,12134
2학년,확률의개념과응용,11344,21321,24233
2학년,여론조사의이해,11333,23421,13H23
2학년,산업보건학,34112,41321,43134
2학년,생화학,34321,12332,42221
2학년,인적자원개발론,41244,42132,34312
2학년,유아교육철학및교육사,14213,42341,22341
2학년,역사의현장을찾아서,13411,21333,41442
2학년,생활속의경제,14241,14234,12321
2학년,사회복지실천론,43321,42243,42K23
3학년,고소설론과작가,22231,33311,12444
3학년,근현대문학사,11432,42312,14322
3학년,중세국어연습,12324,31221,43342
3학년,영어발음의원리,24114,32114,32421
3학년,영어회화2,11231,22324,43434
3학년,현대세계의이해와영어듣기,31412,42413,12142
3학년,영국문학의이해,34423,31241,42241
3학년,고급중국어2,42231,44124,31244
3학년,중국명문감상,22423,34233,42224
3학년,중국어듣기연습2,43432,12313,24422
3학년,프랑스어회화2,34243,12133,11242
3학년,프랑스어학의이해,11221,24443,12134
3학년,카뮈와위고선독,13114,12114,32412
3학년,현대일본정치의이해,31421,43243,12134
3학년,일본대중문화론,44312,34121,11212
3학년,일본의시와노래,22324,33443,34433
3학년,중급일본어활용2,21124,31232,32144
3학년,교육사,34241,14343,12133
3학년,유아사회교육,41341,23422,41313
3학년,생활법률,32321,K3432,12344
3학년,개별행정법,31424,32112,24141
3학년,법철학,211K4,43244,22143
3학년,남녀평등과법,31133,23223,21422
3학년,행정조사론,34223,32313,11133
3학년,도시행정론,31224,32432,31142
3학년,정책학원론,41324,21313,24243
3학년,화폐금융론,33123,12121,23433
3학년,현대의노동문제,13211,32421,34234
3학년,증권시장과금융상품,23322,33334,34122
3학년,국제금융론,13422,23244,14212
3학년,원가회계,34113,42113,34232
3학년,금융투자의이해,24221,34113,14333
3학년,마케팅조사,33244,14441,21412
3학년,무역영어,21342,31343,21423
3학년,한국무역론,34322,14342,41114
3학년,방송기획제작의기초,34321,41424,32341
3학년,미디어연구방법,34412,34123,21431
3학년,관광개발실무,23143,22214,32413
3학년,항공예약발권2,42321,42323,33142
3학년,외식산업의이해,34241,24221,13134
3학년,환경친화형농업,21433,24122,32213
3학년,생물통계학,23342,14122,14214
3학년,생활원예,11423,14232,41134
3학년,조리원리,23441,23223,41431
3학년,가정관리학연구법,41123,31242,32143
3학년,고급영양학,43314,31413,11341
3학년,영양교육및상담,43131,33312,43421
3학년,가족관계,21342,33142,33414
3학년,소비자와소비생활,23431,24324,13314
3학년,컴퓨터구조,33224,34134,31442
3학년,JSP프로그래밍,21433,32344,44441
3학년,컴파일러구성,32421,34231,21112
3학년,회귀분석,43423,41212,31342
3학년,표본조사론,12233,34334,14242
3학년,실험계획과응용,13432,31243,21443
3학년,보건통계학,11414,43433,21433
