2016학년도 2학기 기말시험 정답표
2,아동·청소년과 미디어,KF433,23143,21234,21232,43213,42344,21344
2,여행사실무,24113,31114,12321,21444,22214,12123,24312
2,호텔산업의이해,11244,2221D,34242,31111,44223,33343,34411
2,항공예약발권2,4123C,14313,32122,31231,42241,? ,? 
2,서유럽문화기행,32143,41432,14231,24442,34231,12332,14213
2,가축영양학,43243,2122A,32314,44312,21413,13444,33222
2,애완동물,23241,11243,44324,43424,1C444,24141,43434
2,재배식물생리학,32414,33424,23114,41344,43141,24134,14412
2,가계재무관리,11234,33224,34432,14123,32141,42141,42312
2,패션관리와스타일링,13124,34143,34122,41123,13C21,44332,31432
2,아동영양학,41413,42223,23424,43113,24312,13433,43241
2,자료구조,21433,31244,41431,43132,24142,? ,? 
2,선형대수,34124,13223,41234,41123,24314,? ,? 
2,프로그래밍언어론,44312,34321,24212,31341,12344,? ,? 
2,확률의개념과응용,42232,21413,24314,22212,34314,? ,? 
2,여론조사의이해,21133,23123,14241,12331,11234,44313,43112
2,데이터처리와활용,22314,31232,14223,42321,24214,? ,? 
2,산업보건학,44114,31331,43K44,21422,13414,14312,34333
2,의료사회사업론,23132,13144,43421,34312,24321,42413,42331
2,환경생화학,4312D,14243,1312K,21432,42314,41122,23342
2,청소년심리,22321,23243,43122,13344,34222,43444,32211
2,인적자원개발론,42241,42312,31114,34344,33434,11112,12131
2,여성교육론,12322,22232,14122,43114,42124,41224,23143
2,유아교육철학및교육사,24314,12133,31341,21342,24423,21421,34214
2,학교폭력예방의이론과실제,31314,43234,33214,34334,13332,11224,31431
2,유아수학교육,21233,23413,34441,43342,13134,24113,21433
2,아동문학,32113,43434,34142,12323,12414,14243,33223
2,인물로본문화,43421,31234,12342,14231,1422B,34211,42134
2,역사의현장을찾아서,33312,41242,34342,23224,32112,23421,23234
2,생활속의경제,42123,31413,43222,41413,12411,? ,? 
2,음악의이해와감상,41243,14244,11423,34313,24321,33314,334A1
2,사회복지실천론,43121,23231,13221,43143,11344,32222,42313
3,인간과교육,44122,23343,13142,E3131,43314,34412,21142
3,통일인사이드,24124,42242,31441,32343,21343,24121,43141
3,현대시론,433B3,41341,21212,41432,33142,31342,24243
3,고소설론과작가,44421,12241,31142,43433,21344,22343,24442
3,근현대문학사,44123,21342,13314,21423,13244,43231,12321
3,중세국어연습,33211,22342,41434,31144,41243,12341,13414
3,영어발음의원리,32434,12112,34231,24124,34213,23341,41341
3,영어회화1,21343,42432,23341,14314,11212,43421,31243
3,영어회화2,31441,31242,42432,43A32,21133,31124,44421
3,현대세계의이해와영어듣기,12412,31431,23434,21243,13442,13123,14141
3,영국문학의이해,34324,14244,41313,14324,11323,13242,43121
3,영작문2,23413,44123,34132,14211,34224,23144,34121
3,고급중국어2,43141,34132,34243,41224,11424,12334,12434
3,중국의사회와문화,12323,41321,43444,32312,41321,? ,? 
3,중국명문감상,12233,34324,23221,24334,41422,33142,14433
3,중국어듣기연습2,13241,34132,14122,11423,34324,? ,? 
3,봉쥬르프랑스,31222,14123,41144,31242,43412,22441,44213
3,프랑스어회화2,23113,33241,23424,42323,21414,41334,22231
3,프랑스어학의이해,13332,24224,23411,24313,13111,21132,14441
3,현대일본경제의이해,12211,43324,32344,14241,14423,23123,14313
3,현대일본정치의이해,12344,31314,22142,42311,12413,34231,23432
3,일본대중문화론,34413,23132,14331,13441,23423,11122,33331
3,일본의시와노래,31242,41342,24134,32423,43432,33421,22122
3,중급일본어활용2,23424,24432,14311,23314,24133,32123,11414
3,교육사,14143,24143,23141,12321,24344,33431,23421
3,교육사회학,24242,31232,22231,24123,23444,42431,42311
3,유아사회교육,32144,31123,22341,24212,32413,14342,11431
3,교과교육론,41134,22424,34314,32211,24421,44124,41123
3,교과교재연구및지도법,42123,13342,31223,21113,23324,23424,33434
3,생활법률,41433,14142,13114,33323,13132,4A14K,B1341
3,개별행정법,34242,22431,41214,342F1,31431,? ,? 
3,주식회사법,34124,32314,21432,14321,43214,? ,? 
3,소비자법,11432,24321,43231,42413,13232,14234,22341
3,법철학,32323,12123,31124,24441,41443,31121,31243
3,인권법,43133,41241,12343,22412,34214,? ,? 
3,남녀평등과법,33233,44342,14331,43442,41142,13131,14323
3,행정조사론,24412,42224,24141,34134,44243,? ,? 
3,행정사례연구,13414,42434,44213,13242,31413,? ,? 
3,도시행정론,34244,22312,23243,24433,31244,? ,? 
3,정책학원론,21314,23344,12421,43142,23123,? ,? 
3,한국정부론,24431,42421,22411,32413,31342,? ,? 
3,화폐금융론,34322,11144,32442,13332,42342,21241,24432
3,노동경제학,32434,23412,43441,42431,43414,31242,33443
3,국제금융론,14444,14421,22431,23234,43233,21234,44213
3,도시경제학,12344,24143,31121,24141,33431,42423,32244
3,원가회계,24344,12221,41134,43243,31323,24231,31413
3,금융투자의이해,33124,32321,43432,31142,24131,? ,? 
3,마케팅조사,32232,42344,21321,21223,33114,23324,41242
3,물류관리,22212,33212,11331,43234,42141,22234,12442
3,국제무역정책,44222,32421,33311,23133,13323,42422,33423
3,무역영어,31434,13141,31244,12333,21114,22244,33242
3,산업구조와경쟁,24224,14233,14111,21124,14411,22224,12321
3,국제광고론,12314,24114,24441,13331,44224,43122,43132
3,국제경영전략,41324,41321,42133,12432,13422,34213,11424
3,스피치커뮤니케이션,41114,31234,12311,12241,14314,22144,13113
3,뉴스취재와기사쓰기,43232,42121,42243,22441,42132,? ,? 
3,멀티미디어기획제작,33411,42232,24321,13432,11411,13132,24112
3,방송기획제작의기초,43231,43132,32314,32431,44344,12131,23423
3,미디어연구방법,31442,23411,44241,13341,34114,41334,42114
3,컨벤션산업론,14232,31344,24442,31222,43441,42441,33214
3,관광연구의이해,21342,13123,42434,12431,13234,12K24,4143K
3,관광개발실무,13424,33421,24444,23212,11441,33244,33422
3,외식산업의이해,44413,11332,23442,31144,41322,22233,23111
3,여행영어2,12243,43233,42143,33221,43334,? ,? 
3,환경친화형농업,13211,42431,32441,12242,34332,32431,44111
3,토양학,33112,42324,14241,24431,34321,13141,43133
3,재배식물육종학,24143,43112,33212,43321,43132,42341,14342
3,생물통계학,44323,42211,21412,14413,23144,42141,41221
3,생활원예,23234,14221,31423,42441,12314,12144,22434
3,조리원리,31321,14231,41142,1113K,11214,13422,14323
3,가정관리학연구법,24121,12221,31224,43243,24313,31431,F4334
3,임상영양학,12422,24134,14132,43321,22431,31243,43231
3,영양교육및상담,41313,33333,11233,43431,41223,14432,22313
3,단체급식관리,41342,43313,32424,32331,42231,42312,44131
3,의복구성의실제,43242,13413,21333,42212,21431,? ,? 
3,지역사회복지론,13414,12214,23131,22314,42232,13421,43433
3,색채와디자인,21244,31432,32432,34421,31222,34312,14224
3,한국복식문화,41213,44322,13312,42314,21343,12431,31244
3,가족관계,23144,23311,44233,11142,33213,44233,21334
3,디지털패션표현,21324,32141,42222,13414,11422,34134,21413
3,서양복식문화,14224,24121,11123,24144,12221,? ,? 
3,소비자와소비생활,41321,34314,13321,21131,32241,22434,21424
3,영양판정,31324,34241,33313,34214,21312,24133,22134
3,컴퓨터구조,12113,32234,12244,11334,41233,24442,31432
3,데이터베이스설계및구현,21422,24341,12231,34234,31414,? ,? 
3,JSP프로그래밍,23343,14212,14324,22234,13243,? ,? 
3,UNIX시스템,42413,13413,23134,1312E,43124,? ,? 
3,컴파일러구성,44334,42C33,34132,32342,23213,12334,42424
3,보건정보데이터분석,41234,22434,13133,22421,23243,? ,? 
3,회귀모형,24124,32132,34124,31324,31243,? ,? 
3,품질경영,34121,32411,44313,43241,32443,? ,? 
3,표본조사론,32134,22124,23132,42232,13433,? ,? 
3,실험계획과응용,32441,42434,32334,41313,23243,? ,? 
3,보건통계학,44122,14121,13244,32343,22431,? ,? 
3,상하수도관리,23424,33234,21234,42113,41121,? ,? 
3,작업환경관리,32443,33413,12443,33413,41214,? ,? 
3,환경보건학연구방법,21423,34233,43122,43143,24134,312K3,41134
3,환경미생물학,22342,44244,42312,22123,34122,34342,41314
3,간호이론,13432,43131,34112,43233,14323,32422,31123
3,지역사회간호학,23143,41343,34231,34431,14333,23421,23412
3,응급간호학,42341,11344,21213,33413,42143,21443,21344
3,고급간호연구,33431,43141,34213,24434,43311,32113,13434
