1,세계의역사,43121,31213,13242,34341,34423,32412,34233,24142,31244,32142
2,글쓰기,32134,21423,31421,23414,32134,32214,34121,12331,24412,42312
3,컴퓨터의이해,21313,33444,31341,34421,42321,34123,12434,12134,21324,31423
4,한국사의이해,21343,11413,34244,21412,43241,24234,31324,21342,41114,24143
5,세상읽기와논술,23143,32114,43231,43124,32443,21311,24331,42433,41223,44112
6,세계의정치와경제,43213,24121,42423,13423,41234,13142,34123,42313,41341,23411
7,생명과환경,21313,32411,24332,11432,22411,23441,33124,32214,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
8,동서양고전의이해,24432,23114,43121,14323,23241,43442,11233,33344,23431,32323
9,한국사회문제,21441,21144,14431,21123,31414,12121,31311,44233,34123,44424
10,생활과건강,13444,33211,23214,41313,41341,23421,11223,31412,24134,32134
11,글과생각,31213,13134,31424,34422,34134,32312,31442,21143,23244,41231
12,문학비평론,23144,33143,41243,41412,42113,21243,32133,41441,44122,22342
13,영시읽기의기초,33414,31241,21421,42413,24132,34124,23133,23234,31314,33412
14,영미희곡,41234,23314,14412,41231,44422,13421,44214,13243,43141,32442
15,영미아동문학,13411,32141,32411,24422,42332,44242,23211,21222,42144,14412
16,기초한자,23412,33332,24441,23112,32323,11321,33142,22323,12131,34343
17,중급중국어1,22311,31143,21212,22412,34412,13322,44123,43113,43412,33212
18,프랑스어입문,12331,32322,12244,44234,43211,42231,23214,31141,31332,33332
19,일본의기업과경영,24134,43311,23142,12222,41321,32444,24234,24434,41244,23242
20,형법총론,13421,32214,23413,43124,12342,34211,24313,14243,,
,,배점,23232,32333,32232,32322,23232,22233,33333,22223,? ,? 
21,민법총칙,31324,43132,31343,12412,32314,24112,42113,13133,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
22,사회복지개론,11331,42134,12411,11142,13224,32122,23211,11233,34243,24441
23,정보사회와행정,14432,32423,21234,43221,11214,41344,44244,32124,11444,41442
24,기초미시경제론,21424,31412,33312,13423,33134,22214,22324,12141,,
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,? ,? 
25,토지경제론,12324,12414,31224,33333,24414,42414,21341,34423,,
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,? ,? 
26,e-비즈니스,43323,23411,44143,32132,23212,31422,41331,14233,14232,34313
27,인적자원관리,42412,33122,44344,32234,21234,12323,21342,23132,31244,33112
28,소비자행동론,42122,24344,33114,22113,31224,22332,32113,22242,14132,41143
29,국제무역론,41133,34212,31213,42423,23412,44322,32132,31442,34322,24233
30,국제경영학,43312,34212,24341,14231,41322,33142,21432,12432,42143,31424
31,그래픽커뮤니케이션,41321,41314,43134,32211,24144,32143,42134,23424,,
,,배점,22222,22233,33333,33232,22233,23332,33232,22332,? ,? 
32,매스미디어와사회,12113,21223,33431,41223,12324,11333,12412,21443,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
33,한국지리여행,43121,J1132,41232,23414,12314,31241,22323,31212,,
,,배점,23232,32222,22233,23333,33232,33232,32322,23233,? ,? 
34,숲과삶,32133,24133,11242,31312,24122,41212,14324,33241,,
,,배점,23322,32333,23323,22232,23333,22323,32332,23222,? ,? 
35,식용작물학1,41342,42314,13424,32311,11244,23313,24212,24331,31141,23324
36,가사노동·시간관리,12434,32311,34312,12433,24214,12312,23141,24212,13443,22424
37,영양과건강,31214,32241,24331,24143,14232,11224,22332,24342,44141,34221
38,패션과문화,32422,14232,24242,21321,12122,32434,22322,34141,42114,22124
39,인터넷서비스,21323,42134,44221,32332,13342,23143,44241,12441,34232,24221
40,데이터베이스,14322,23111,12444,21444,21132,21341,23342,34331,,
,,배점,22232,22323,22223,32232,33322,33233,23332,33332,? ,? 
41,통계조사방법론,43134,42424,21412,23214,23133,23122,24123,32442,,
,,배점,23223,33222,23232,22333,22333,23323,32323,22233,? ,? 
42,공중보건학,34231,31414,31141,23131,23342,22331,23142,41141,32431,43222
43,정신건강과간호,32432,41333,43141,24213,34341,31324,21141,32213,24313,11242
44,간호연구,12343,12321,24323,42122,23221,12122,13331,43442,14433,34142
45,평생교육방법론,32321,33144,22224,43124,42211,42331,42334,33314,,
,,배점,33333,33333,33333,33323,22222,22222,22222,22322,? ,? 
46,원격교육론,34134,22134,33121,21443,23213,44213,41213,24342,13341,41342
47,평생교육론,13214,23142,42113,42213,24312,43341,32341,14321,32412,21343
48,발달심리,32434,23313,22312,34432,43124,23412,42422,42133,24423,42411
49,청소년문화,24243,21413,42321,44121,13431,44121,23424,41213,31142,43432
50,청소년복지,32444,33122,13121,24421,14221,12431,13341,31441,43322,31423
51,아동생활지도,23341,14143,11243,31342,14142,22234,32213,41422,,
,,배점,33332,32223,32223,23232,33232,32322,23232,23332,? ,? 
52,영유아교사론,13231,33414,32121,34433,34123,12422,E2314,21431,43413,13441
53,유아교육과정,41342,13341,24224,34121,32424,32342,32314,31423,31431,34332
54,신화의세계,33244,12321,24213,13423,43413,21323,43131,24223,24123,12414
55,영화로생각하기,42134,33114,32342,21233,44432,21231,33141,31442,34314,34324
