2013.1학기 대체시험 정답표(13.1)(5차) - 업로드
4,사회복지행정론,23411,23442,13442
4,정책평가론,43123,42123,14243
4,한국경제사,31244,23142,43213
4,도시경제학,22213,21313,23122
4,경영분석,22124,22313,43233
4,마케팅커뮤니케이션관리,24421,22141,14432
4,국제경영전략,12413,44212,33231
4,무역결제론,23132,42342,11413
4,미디어비평,41323,41234,12432
4,미디어교육,32412,32132,14243
4,매스컴영어,13221,33331,24343
4,세계의음식·음식의세계,44112,33322,21144
4,관광과문화,32324,23342,13112
4,시설원예학,24412,24112,34122
4,초지학,31444,33331,23242
4,패션산업의이해,42311,32114,42311
4,식사요법,44121,22412,12444
4,가족복지론,1321K,14312,34224
4,조리과학,32143,32424,41123
4,가족생활교육,44112,43214,23443
4,의복과건강,31141,31241,244F2
4,컴퓨터그래픽스,14243,21234,41313
4,모바일서비스,14213,42231,23111
4,정보통신망,32442,13443,24241
4,신뢰성공학,34214,33212,33321
4,다변량분석,12234,34313,112KK
4,통계학의개념및제문제,41243,31123,42133
4,환경보건역학,31421,42314,32321
4,산업독성학,31K12,24414,14423
4,유해폐기물관리,44331,43321,33241
4,청소년건강과간호,23142,34221,41333
4,재활간호학,31K33,4122K,14312
4,원격교육론,11323,24241,12324
4,청소년복지,24324,21332,43231
4,직업·진로설계,21143,24311,32324
4,세계의도시와건축,23241,31412,41423
4,행복에이르는지혜,42113,24341,12313
4,근현대속의한국,12432,21431,32234
4,사회복지실천론,3F122,33K24,131KK
4,청소년진로지도및상담,42221,24332,12434
