60,청소년복지론,43312,43224,23311,22213,41431,44422,44214,12144,,
,,배점,22222,33232,33322,32322,33233,22332,32333,23232,,
61,유아발달,22213,22432,22124,32413,11421,42143,21311,34342,,
,,배점,22233,32232,32232,22232,23232,22332,33333,33323,,
62,유아교육론,43243,13424,42131,42413,34214,33221,24334,44342,33123,42141
63,교육과정,14212,32413,14231,34123,43214,21342,34312,41323,12413,21423
64,영화로생각하기,34231,21314,32232,41423,41144,224B3,12322,43331,,
,,배점,32232,32233,23223,32332,23232,32323,32323,23232,,
65,문화산업과문화기획,11433,21342,32121,34221,43314,32321,44223,11123,34112,21131
66,문화와교양,34121,42234,13231,42224,43213,24322,13412,34134,42132,24141
