1,글쓰기,32141,43122,43312,41232,41321,42433,14243,24413,21421,43312
2,컴퓨터의이해,41343,34424,31444,23431,21344,123A2,41332,41231,44231,42432
3,생활과건강,43322,34133,12422,44441,41414,12423,41234,13124,43124,12331
4,세계의역사,31422,43133,32412,33423,14132,41134,31244,31321,? ,? 
,,배점,22232,33232,33323,23333,32232,23233,33222,32222,? ,? 
5,한국사의이해,41233,14231,14324,11423,34241,13224,31132,44323,11342,41123
6,생명과환경,31214,3K411,1K242,24212,43143,11223,34212,13431,? ,? 
,,배점,23232,33222,33232,32232,33322,22332,22332,33332,? ,? 
7,세계의정치와경제,13422,13342,12341,34231,42341,31234,23114,43132,34134,22313
8,동서양고전의이해,32343,14214,11421,41313,12441,41432,C1332,42431,13242,32134
9,세상읽기와논술,34112,43214,23214,13314,33243,13244,42432,33424,31224,32133
10,한국사회문제,42312,34134,33423,14114,34344,43234,23441,42424,11233,44244
11,글과생각,42133,21141,31141,21213,41234,12342,31411,44323,24143,43421
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
12,고전소설강독,23343,14312,13424,13434,43134,24314,22434,22424,34321,42234
13,영연방의사회와문화,42134,31312,13242,34313,32312,41131,44242,11232,44211,4F242
14,영어교수법,14K34,31132,22311,24412,41341,32323,43112,44412,41334,14221
15,영미아동문학,31342,12414,31322,31441,21323,14111,34321,22412,43113,32321
16,기초한자,13342,12111,32134,32244,31314,32221,31342,34144,42311,21141
17,중국문화개관,31244,23113,21133,42334,41413,13324,11144,33223,13142,43134
18,프랑스어기초문법연습,32123,41234,12213,42131,43311,43432,12413,42121,42411,34243
19,일본학개론,24112,12423,31312,22111,33114,44311,13241,34344,33314,21343
20,일본어기초1,41214,12241,21243,42424,13143,21212,43112,41344,12114,12331
21,민법총칙,14342,13431,42331,13214,12433,12211,43442,21413,? ,? 
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
22,형법총론,32121,43114,31232,12333,24413,21344,23234,31242,? ,? 
,,배점,22223,33222,22332,33332,23233,32333,32332,32222,? ,? 
23,행정학개론,31242,43312,42413,12143,23142,13141,23131,43224,? ,? 
,,배점,33322,32233,32232,23223,23322,32322,33332,23232,? ,? 
24,기초미시경제론,43431,33222,13142,42434,31331,24244,22423,12131,? ,? 
,,배점,22332,32332,33222,33223,22332,33323,23223,22323,? ,? 
25,재정학,22433,44322,31114,22224,14121,41343,34121,23311,44344,24413
26,e-비즈니스,33222,24234,13214,22423,43124,13432,42314,12131,33423,44123
27,인적자원관리,42411,31432,23234,44221,34331,44331,22411,42424,44444,44433
28,소비자행동론,23323,11412,24331,24321,21413,14411,43121,21432,41421,12123
29,국제경영학,32411,23143,22413,43212,34123,41224,11324,32413,42331,32142
30,무역실무,14323,41122,23213,34114,32213,24343,12143,43421,31431,H4424
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
31,관광행동론,32232,13411,42344,31123,14122,34342,14231,44312,? ,? 
,,배점,33333,33333,33333,33333,22222,22222,22222,22222,? ,? 
32,그래픽커뮤니케이션,43243,44332,42414,14313,41332,34124,11422,22144,31412,E4111
33,매스미디어와사회,41314,34121,43221,33314,11133,41213,22131,24113,32334,31442
34,원예학,13323,11233,22442,22112,41223,31314,32143,31441,31414,21132
35,가족자원관리학,42242,24312,34324,31134,12232,31324,14123,13134,23211,44142
36,인체생리학,32224,24343,11212,31111,42431,21244,23131,14213,32243,44321
37,패션디자인,43132,42431,23142,32234,13123,43423,13321,13331,43422,32213
38,운영체제,21341,24133,24142,31223,14214,343A4,23342,13214,13142,43142
39,알고리즘,33123,31142,32314,33431,22314,33441,13323,24123,43224,14421
40,통계패키지,13331,22431,34231,32413,23423,13234,12431,14213,? ,? 
,,배점,22233,33333,23222,22333,32222,32322,22233,33323,? ,? 
41,대기오염관리,23332,41433,32341,42234,2K113,21233,K3433,23211,? ,? 
,,배점,23323,23232,23232,32322,22333,32232,23332,32323,? ,? 
42,정신건강과간호,12144,31211,13234,12124,42431,43343,24414,13434,14132,23243
43,간호연구,34124,22412,42433,23422,12122,12343,34112,12432,43324,12322
44,교육공학,31421,22134,21341,12431,21243,31224,13243,32424,12213,14124
45,생애발달과교육,21423,12442,14324,22443,22314,32221,33114,32411,32331,E4312
46,상담심리학,32324,24314,21231,31334,42241,31243,22131,43121,14434,22143
47,발달심리,31332,14214,32334,21413,31421,32424,13243,14311,34311,22434
48,청소년과부모,34422,44321,34343,14412,23142,42333,23324,14332,33344,13324
49,청소년학습이론및지도,21411,23223,34323,41342,34432,34341,22344,14241,14333,22234
50,아동발달,23421,44223,41142,42333,33443,43441,14331,21221,32312,13231
,,문항,01월 05일,06월 10일,11월 15일,16-20,21-25,26-30,31-35,36-40,41-45,46-50
51,유아교육개론,43212,11331,41323,12444,41122,12313,42124,32134,33334,44112
52,유아언어교육,21234,14243,23434,33414,11441,22411,32333,31444,? ,? 
,,배점,23332,23233,23233,23222,32323,22332,23323,32232,? ,? 
53,신화의세계,24314,3313A,22431,33131,42423,24323,41432,12242,31134,12314
54,문화와교양,21144,33241,34231,21333,12143,42314,43243,12431,23432,14314
