1,글쓰기,43231,12413,24421,32142,32123,34412,43212,31124,34131,34422
2,컴퓨터의이해,14311,33121,41343,12243,42141,23312,41432,42131,32134,21341
3,생활과건강,24341,13423,24213,44134,42423,34321,42443,K2123,44214,32321
4,세계의역사,21323,21433,42413,41112,43121,41123,43124,13314,13323,14443
5,한국사의이해,21134,42341,23213,33311,43212,24441,33421,31212,34132,13414
6,생명과환경,41312,43214,21431,23424,21141,21413,31222,33413,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,,
7,세계의정치와경제,14132,42321,33142,43312,34412,23433,34113,24423,14321,23434
8,동서양고전의이해,31323,42422,44114,33422,43324,21421,44233,41423,22442,31432
9,한국사회문제,22134,42132,34233,21141,41413,12121,42321,12424,23131,34244
10,세상읽기와논술,34212,32244,14423,23131,32444,11233,42314,23243,14214,31134
11,우리말의구조,21143,24121,34232,44133,34433,12132,21343,12443,12134,23432
12,영문법의활용,32143,24134,21423,11K41,41233,43421,43411,32424,14323,41242
13,영미산문,43124,42323,31322,24411,23321,43142,21414,43431,44213,41141
14,영미희곡,13421,24124,22422,41431,42241,24311,42132,41412,31411,23433
15,기초한자,44132,11144,23442,23442,24444,42431,34334,32143,21243,24144
16,중국문화산책,34213,44212,42143,23441,11342,31431,23141,24233,,
,,배점,33233,22323,22323,22323,23223,33232,22333,23232,,
17,프랑스어입문,13421,31231,34212,44313,11224,22342,22134,22424,41212,12133
18,일본학개론,41432,21311,21441,24221,41241,24342,23314,31233,22114,32144
19,민법총칙,14134,33213,14324,31132,22313,34333,41243,44111,,
,,배점,22223,33332,32233,33323,33333,32232,22222,32222,,
20,형법총론,42433,11423,23142,32114,34124,12432,24321,43321,,
,,배점,22232,22333,33232,32322,32332,33223,22332,23332,,
21,헌법의기초,23112,21443,21234,13144,14143,44233,14313,11411,,
,,배점,33222,22223,32332,22222,22222,23333,33333,33333,,
22,사회복지개론,42341,11444,41324,41232,41241,33312,41313,21144,43114,42111
23,행정학개론,12111,21234,32344,12213,44214,41231,31434,23314,,
,,배점,33323,33222,32222,22223,33333,32323,23233,22322,,
24,기초미시경제론,22124,42131,33424,12424,23134,44321,43143,32113,,
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,,
25,재정학,22433,14312,42241,44342,44133,33113,32134,13441,,
,,배점,23232,32323,23232,32323,23232,32323,23232,32323,,
26,중급재무회계,12411,21243,11412,42334,41132,33243,11431,42431,13141,41143
27,전략적인적자원개발론,44124,42243,31311,42433,34134,42234,33442,13212,12423,43214
28,e-비즈니스,43121,41234,23314,22143,12413,12424,31421,34421,34231,24343
29,국제경영학,34123,41224,11324,32413,42331,32142,32411,23143,22413,43212
30,사진의이해,31421,42314,31342,42113,42313,43141,21143,22143,,
,,배점,23223,32323,22323,32233,23232,32323,22233,23323,,
31,그래픽커뮤니케이션,12412,14414,21431,11142,33132,43342,43124,21444,,
,,배점,22332,33333,32333,33233,32233,32322,22222,22222,,
32,한국지리여행,41231,43231,24234,12323,24322,31421,31231,43412,,
,,배점,32232,32333,23332,32332,22332,32333,33222,22222,,
33,이벤트·스포츠관광,23424,11322,41314,31212,32412,33244,22114,33222,,
,,배점,32233,23332,23223,23223,23223,32322,33323,32223,,
34,숲과삶,13423,14142,43223,22422,14144,42314,12432,13234,,
,,배점,23332,23332,23232,33322,32332,22223,33223,23223,,
35,농학원론,42331,43331,31223,41214,13232,14442,43413,24431,41421,22112
36,인체생리학,43142,43214,22114,K1114,12242,23443,12342,44231,23312,34234
37,패션과문화,31241,22134,11443,14322,22431,22412,33423,12413,31342,12441
38,가사노동·시간관리,22414,31432,12121,43431,24332,14242,13421,22324,23121,23423
39,인터넷과 정보사회,24412,43431,32243,11114,32321,44311,22432,34141,44322,31214
40,Java프로그래밍,43342,14321,13434,23413,12442,31344,14243,12424,43413,31214
41,데이터정보처리입문,13122,22442,33424,14132,43232,12143,33113,24233,,
,,배점,23323,32323,33333,32222,23323,32222,22233,22233,,
42,대학수학,33443,42122,41324,44244,31212,31224,43431,32111,,
,,배점,22232,23322,23322,32223,23233,33333,33333,22222,,
43,공중보건학,23123,12243,31224,13142,42113,24321,34242,13143,44132,31134
44,정신건강과간호,11313,21441,41444,41442,43344,23134,31131,32112,44343,31343
45,간호연구,32113,44123,12422,32413,31211,13241,43134,42134,21234,14221
46,자원봉사론,32243,32241,42444,12343,24412,32332,22221,43323,,
,,배점,22222,22222,22222,22222,33333,33333,33333,33333,,
47,교육공학,23114,43324,41332,42331,14213,24112,41324,23224,11314,32241
48,평생교육론,14334,21342,34312,21423,24132,41231,12341,14323,31224,31124
49,청소년학습이론및지도,22214,43113,41242,34243,12111,33242,32242,24122,,
,,배점,22332,32332,23222,33233,33223,33223,22322,23332,,
50,청소년육성제도론,42314,43332,34134,21444,42231,32422,14131,33241,,
,,배점,22323,32332,33232,22323,22322,33223,33222,32333,,
51,청소년상담,31112,42431,43244,23141,22323,43113,24423,22322,,
,,배점,22333,33323,32233,33232,22222,23233,23323,23222,,
52,유아교육과정,24433,42343,21133,34334,21344,42423,31441,44344,44132,44342
53,영유아교사론,42214,32233,44134,34133,22221,23234,21214,13414,12142,41214
54,유아과학교육,13423,14134,43114,32431,33243,13432,33144,33442,,
,,배점,23223,23322,22333,22223,33223,33223,33322,22333,,
55,영화로생각하기,31441,32321,14132,42143,42432,14241,24331,33414,12321,24311
56,세계의풍속과문화,14423,32333,13142,32114,44342,44424,33414,42114,34413,13312
