1,글쓰기,41232,24131,24142,13431,23123,24413,21244,42133,24241,41421
2,컴퓨터의이해,41321,32223,41344,13234,12142,34414,31243,12231,43241,34213
3,생활과건강,34211,32231,31121,11432,42323,12443,41324,21341,34231,24421
4,세계의역사,11334,21234,34214,34221,34133,34122,13422,44143,? ,? 
,,22333,22233,22223,33223,22323,22323,33223,33323,? ,? 
5,한국사의이해,14433,23124,12213,14223,12112,31143,31213,42231,44131,23123
6,세계의정치와경제,31423,21323,12243,13422,13244,13223,42112,43234,21423,42414
7,생명과환경,14213,44321,24331,22412,41413,24243,21341,24221,? ,? 
,,32233,33223,22322,33223,32232,23332,32232,33232,? ,? 
8,세상읽기와논술,31342,42413,24232,13324,31243,22131,24342,31434,13212,13124
9,동서양고전의이해,31343,D1433,34423,34112,41213,33424,43133,43224,42132,2414K
10,한국사회문제,23441,12341,33344,31421,13322,43234,31423,11442,21241,34433
11,글과생각,13234,13232,44343,21323,14434,22132,41313,14122,34413,21234
12,소리와발음,23244,31442,33144,14122,41313,42123,43324,23141,11322,42313
13,영어학의이해,24431,33423,31234,22131,21121,21433,34242,42441,32143,44133
14,영어회화1,24313,21411,33212,42114,13134,14242,33443,23141,42324,24312
15,미국문학의이해,12232,44342,34143,21213,22424,33211,32424,12342,31111,34444
16,기초한자,43431,11211,11113,13223,42132,12433,23311,33334,23321,33434
17,중국어중급회화,24143,43121,23413,21243,42314,12332,42333,13124,22443,31242
18,프랑스어기초문법연습,24121,34434,14421,41124,14142,34214,34434,11424,44121,11343
19,일본학개론,32434,23122,33241,14341,44424,24234,22211,23414,33344,42214
20,민법총칙,41133,33314,13431,33233,22423,32244,34341,12124,? ,? 
,,22322,22333,32222,22232,32223,33333,33222,33333,? ,? 
21,형법총론,43123,21342,13432,41321,34422,32143,24312,34122,? ,? 
,,32223,23323,23322,22233,32322,22323,23233,32333,? ,? 
22,일반행정법,41232,31433,44142,13423,12122,42433,24321,34323,? ,? 
,,23322,33322,33233,23233,32323,32323,32222,22322,? ,? 
23,사회복지행정론,31244,12332,41413,22234,14311,24343,21124,44231,? ,? 
,,23232,32323,23232,32323,23232,32323,23232,32323,? ,? 
24,기초미시경제론,43431,42431,31242,34113,24341,24112,21132,42131,? ,? 
,,22332,32232,32333,32223,23322,23332,33232,32232,? ,? 
25,재정학,42341,34122,24232,12433,34132,24423,44131,43133,? ,? 
,,22332,22333,32233,22232,22232,32233,23333,32332,? ,? 
26,경영학개론,33412,44242,32234,31243,12211,42143,33222,41424,14313,43321
27,재무회계원리,14212,22412,12434,43423,12421,24232,12443,13123,11214,44241
28,재무관리,21332,43231,13343,14312,32332,13431,42214,32243,? ,? 
,,33232,22332,22223,32323,23233,23332,23222,32333,? ,? 
29,국제경영학,21343,14322,34314,22341,42434,12113,22131,43241,24213,13324
30,그래픽커뮤니케이션,43323,24331,44134,31123,34431,24233,41331,34432,24244,34112
31,이벤트·스포츠관광,42431,23141,32234,21142,34144,23123,11434,32211,31411,42243
32,자원식물학,12214,14331,22442,12213,12444,32411,41423,12313,? ,? 
,,22222,22222,22222,22222,33333,33333,33333,33333,? ,? 
33,영양과건강,43334,21424,24112,12213,42412,31423,43433,13112,22423,22114
34,가족자원관리학,43224,33322,32142,14214,32123,32331,41231,31134,23211,44142
35,패션과문화,13213,31421,11432,12424,12411,23143,24341,44124,33243,41331
36,디지털논리회로,31F24,33243,24221,43231,12113,41441,21C43,33113,41221,234K3
37,유비쿼터스컴퓨팅개론,42143,14214,13312,31412,11441,43K12,14231,43411,? ,? 
,,33333,33322,32223,32333,32323,32223,22222,22232,? ,? 
38,통계학개론,12412,13234,14343,21421,24212,41232,34123,32424,? ,? 
,,22222,32322,22223,32332,33333,32233,23333,32223,? ,? 
39,지구환경생태학,32431,34132,33134,32414,34124,34414,43331,44224,14321,24322
40,간호연구,24214,23241,22134,24324,13244,21242,13314,22132,34213,14343
41,교육공학,34224,41322,41332,43411,32213,13441,23112,42433,41143,42443
42,생애발달과교육,32423,12413,24314,21214,33114,22232,42133,24211,21123,42143
43,상담심리학,34123,12234,24434,42341,22321,34341,13241,31413,14312,21322
44,청소년문화,44231,44242,44424,42232,42211,12412,24434,44241,44312,32432
45,청소년교육개론,13134,41341,32141,43342,43111,32313,23214,32424,14324,34412
46,발달심리,21344,13124,21332,12342,34312,12432,11344,23421,32121,31414
47,아동발달,21221,41224,44232,24324,32443,23121,41223,12242,42333,42432
48,유아교육과정,23123,14123,41422,32433,41124,13143,14224,34312,21421,32323
49,유아언어교육,41443,34234,42334,12323,24434,34231,12312,11113,? ,? 
,,22323,33232,32233,22223,23332,22332,32333,22323,? ,? 
50,신화의세계,242K3,14143,24242,12431,24244,31231,31324,32332,44321,12214
51,문화산업과문화기획,13423,14423,32113,24143,22113,41323,13244,21323,11243,21211
